CALI,DENC,DENS,DTC,DTS_1,DTS_2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.1784,-0.0123,2.1844,102.6783,176.3183,183.8025,62.3378,0.345,2.7036,7.5202,1.8743,7.0799,2183.75,2183.892,424,644,,30.2,-4.2365475,60.3305383
12.1724,-0.0131,2.1863,96.998,191.0048,189.2086,55.0037,0.3222,2.5989,8.4347,2.0026,7.9652,2184.32,2184.0444,426,1394,,30.3,-4.2365475,60.3305383
12.174,-0.0148,2.1866,99.6971,196.2344,192.2709,57.1117,0.3194,2.6842,10.9253,1.3791,10.0918,2184.32,2184.1968,426,1394,,30.3,-4.2365475,60.3305383
12.1752,-0.0152,2.1854,95.6886,195.8234,194.3062,62.2408,0.3218,2.711,15.04,1.2742,13.6582,2184.32,2184.3492,426,1394,,30.3,-4.2365475,60.3305383
12.1756,-0.0156,2.175,103.3015,191.0703,193.3407,57.4677,0.3155,2.7287,16.1307,1.218,14.7373,2184.5,2184.5016,427,1798,1318,30.6,-4.2365475,60.3305383
12.1768,-0.0158,2.1735,95.2945,187.7706,194.9181,55.9878,0.3003,2.6145,15.7259,1.3473,14.5114,2184.75,2184.654,428,1342,,29.2,-4.2365475,60.3305383
12.1736,-0.0138,2.1783,89.6364,189.3571,193.4489,56.8039,0.2912,2.6198,16.7406,1.4429,15.1159,2184.75,2184.8064,428,1342,,29.2,-4.2365475,60.3305383
12.1771,-0.01,2.1857,84.4429,189.4111,194.6508,58.8501,0.2903,2.6253,20.8288,1.3908,18.5433,2185.02,2184.9588,429,1271,,30.4,-4.2365475,60.3305383
12.1721,-0.0106,2.1841,86.3362,188.5706,194.7446,58.6942,0.2929,2.6856,26.9188,1.2981,23.226,2185.02,2185.1112,429,1271,,30.4,-4.2365475,60.3305383
12.1771,-0.0101,2.1842,82.1215,191.5205,189.3991,48.1163,0.3095,2.7144,31.7932,1.4285,26.9641,2185.25,2185.2636,430,1832,,29.2,-4.2365475,60.3305383
12.1756,-0.0104,2.1889,86.2984,188.9314,183.8697,53.1272,0.3118,2.7657,32.046,1.2108,26.7773,2185.5,2185.416,431,1612,1541,29.5,-4.2365475,60.3305383
12.1768,-0.0136,2.1886,76.8122,191.4098,183.8022,55.1235,0.3255,2.8374,23.6555,1.2539,19.7985,2185.5,2185.5684,431,1612,1541,29.5,-4.2365475,60.3305383
12.1756,-0.0151,2.185,75.0898,190.0975,182.0214,57.6279,0.3247,2.7953,17.7549,1.1793,15.2612,2185.5,2185.7208,431,1612,1541,29.5,-4.2365475,60.3305383
12.1739,-0.0136,2.1756,77.7167,188.5457,188.9403,58.5588,0.3278,2.7969,16.6182,1.2062,14.5376,2185.95,2185.8732,433,1408,,30.3,-4.2365475,60.3305383
12.1787,-0.0148,2.1716,75.6586,186.5589,186.4273,54.2387,0.3192,2.7833,18.2172,1.6317,15.5138,2185.95,2186.0256,433,1408,,30.3,-4.2365475,60.3305383
12.1769,-0.0179,2.1637,94.3154,191.0326,192.7477,53.5462,0.3103,2.7914,21.469,1.7759,17.8751,2185.95,2186.178,433,1408,,30.3,-4.2365475,60.3305383
12.1787,-0.0161,2.1666,101.0632,192.5428,199.8785,55.5489,0.3004,2.7184,24.5778,1.3178,20.7097,2186.5,2186.3304,435,1244,1010,29.9,-4.2365475,60.3305383
12.1801,-0.0141,2.1683,105.6369,191.257,196.5135,55.2274,0.305,2.6707,25.9252,1.3575,22.3679,2186.5,2186.4828,435,1244,1010,29.9,-4.2365475,60.3305383
12.1787,-0.0153,2.1704,106.5471,183.1265,193.8769,54.0928,0.3053,2.6727,26.6715,1.4264,23.259,2186.75,2186.6352,436,1423,,30.2,-4.2365475,60.3305383
12.185,-0.0139,2.1751,110.8015,182.8564,190.2668,54.9822,0.3166,2.7031,31.769,1.2678,26.6334,2186.75,2186.7876,436,1423,,30.2,-4.2365475,60.3305383
12.1896,-0.0134,2.1764,107.4347,183.2574,193.8291,54.8557,0.3164,2.7021,29.8137,1.1983,25.3813,2187.03,2186.94,437,1361,,29.9,-4.2365475,60.3305383
12.1866,-0.0107,2.1772,102.6731,181.0566,190.745,52.6101,0.3181,2.7725,21.3422,1.139,19.0013,2187.03,2187.0924,437,1361,,29.9,-4.2365475,60.3305383
12.1881,-0.0108,2.1817,101.1886,181.7058,186.0671,54.613,0.3228,2.9742,16.8213,1.1533,15.5516,2187.25,2187.2448,438,1496,,31.3,-4.2365475,60.3305383
12.1931,-0.011,2.1928,104.9432,184.5949,188.1927,58.5876,0.3365,2.9512,12.9756,1.07,12.4754,2187.52,2187.3972,439,714,38,29.4,-4.2365475,60.3305383
12.1928,-0.0098,2.2045,111.5947,191.4396,193.2956,66.4048,0.3283,2.9147,10.1642,1.035,10.0796,2187.52,2187.5496,439,714,38,29.4,-4.2365475,60.3305383
12.1915,-0.0044,2.2159,106.5235,195.5522,196.1381,68.9179,0.3364,2.8252,9.1932,1.4405,9.2102,2187.71,2187.702,440,117,,26.9,-4.2365475,60.3305383
12.1865,-0.006,2.2189,114.9704,198.3237,196.7729,68.9238,0.3371,2.7923,9.2648,1.5848,9.2829,2187.71,2187.8544,440,117,,26.9,-4.2365475,60.3305383
12.185,-0.0078,2.2131,109.2127,198.5959,198.0609,66.1435,0.342,2.687,9.64,2.0872,9.757,2187.71,2188.0068,440,117,,26.9,-4.2365475,60.3305383
12.1865,-0.0059,2.206,108.6568,198.9149,197.152,56.5409,0.3294,2.594,11.2008,2.1119,11.1935,2188.32,2188.1592,442,697,,29.1,-4.2365475,60.3305383
12.1896,-0.0008,2.2001,109.7168,196.4091,196.5341,54.7308,0.3054,2.5745,14.6496,1.5713,14.1791,2188.32,2188.3116,442,697,,29.1,-4.2365475,60.3305383
12.1834,-0.0014,2.1963,105.939,191.259,196.72,56.5056,0.3238,2.6443,26.8798,1.2728,22.8057,2188.5,2188.464,443,2172,1488,29.3,-4.2365475,60.3305383
12.1927,0.0008,2.209,99.755,187.3914,194.7623,54.996,0.3208,2.7082,42.7169,1.2392,35.0153,2188.5,2188.6164,443,2172,1488,29.3,-4.2365475,60.3305383
12.1883,-0.0014,2.2129,86.9517,184.0056,187.4323,52.9518,0.3245,2.7385,32.586,1.1861,27.6654,2188.78,2188.7688,444,1423,,28.3,-4.2365475,60.3305383
12.1912,-0.0034,2.2266,96.6382,183.8091,178.573,53.2554,0.3073,2.7414,28.1521,1.1921,23.7188,2188.78,2188.9212,444,1423,,28.3,-4.2365475,60.3305383
12.1975,-0.0112,2.2485,99.6843,170.7236,164.2968,50.8213,0.2994,2.7813,26.8104,1.2537,22.5054,2188.78,2189.0736,444,1423,,28.3,-4.2365475,60.3305383
12.2209,-0.0108,2.2966,81.2082,169.0192,160.9689,52.4094,0.2695,3.0066,28.5031,1.3979,22.6036,2188.78,2189.226,444,1423,,28.3,-4.2365475,60.3305383
12.2288,-0.0104,2.3805,76.5709,166.0108,168.5407,47.8854,0.2054,3.2769,33.3074,1.8431,25.1561,2189.85,2189.3784,447,4,,2.2,-4.2365475,60.3305383
12.2453,-0.0064,2.4823,80.7247,167.6528,172.5298,48.3386,0.1198,3.4194,47.9285,3.6081,34.1435,2189.85,2189.5308,447,4,,2.2,-4.2365475,60.3305383
12.246,-0.0015,2.5881,79.3138,177.8546,192.4993,43.7176,0.0473,3.3925,82.5292,10.3788,55.7382,2189.85,2189.6832,447,4,,2.2,-4.2365475,60.3305383
12.2461,0.0039,2.6469,80.5647,166.2571,215.4304,45.4865,0.0137,3.4692,164.6677,51.5899,114.9909,2189.85,2189.8356,447,4,,2.2,-4.2365475,60.3305383
12.2469,0.0004,2.6526,78.0675,144.8585,215.7461,48.4313,0.0086,3.3429,216.8319,720.4454,188.6874,2190.1,2189.988,448,4,<.01,2,-4.2365475,60.3305383
12.2469,-0.0026,2.6236,75.3205,158.0973,216.0618,48.1927,0.0126,3.2882,210.8428,478.0812,236.4885,2190.11,2190.1404,446,1005,12,24.2,-4.2365475,60.3305383
12.257,0.0012,2.5788,74.0299,160.9965,205.6274,49.747,0.04,3.3332,136.2723,475.1262,203.3486,2190.35,2190.2928,449,4,,2,-4.2365475,60.3305383
12.2727,0.0019,2.5076,75.6262,160.9965,172.4603,59.4383,0.1259,3.4089,38.1065,295.0688,45.4839,2190.35,2190.4452,449,4,,2,-4.2365475,60.3305383
12.2697,0.0003,2.4381,83.475,167.4265,154.5421,77.2718,0.2383,3.5477,10.0326,27.5808,10.7289,2190.6,2190.5976,450,0.4,,7.7,-4.2365475,60.3305383
12.2491,-0.0008,2.3804,89.8429,178.3447,166.3266,87.1826,0.3309,3.6906,4.262,2.7258,4.7128,2190.6,2190.75,450,0.4,,7.7,-4.2365475,60.3305383
12.2469,0.0033,2.3642,89.9682,180.2512,184.2656,84.1103,0.3632,3.8918,2.942,3.1484,3.3273,2190.6,2190.9024,450,0.4,,7.7,-4.2365475,60.3305383
12.2492,0.0045,2.3598,96.9656,196.3175,198.6677,84.6719,0.3656,3.8,2.7259,3.0573,3.118,2190.6,2191.0548,450,0.4,,7.7,-4.2365475,60.3305383
12.2162,-0.0051,2.2582,100.2945,203.7441,188.9486,67.658,0.3468,2.837,4.0441,2.4111,4.5641,2192,2191.512,455,1076,,29.4,-4.2365475,60.3305383
12.174,-0.007,2.2197,100.1919,189.3536,191.0617,67.7053,0.3184,2.6564,5.2365,2.3366,5.6246,2192,2191.6644,455,1076,,29.4,-4.2365475,60.3305383
12.1752,-0.0096,2.1957,100.0268,184.3153,188.2951,60.4467,0.3122,2.6212,6.4437,1.4669,6.4916,2192,2191.8168,455,1076,,29.4,-4.2365475,60.3305383
12.1802,-0.0085,2.1874,100.1758,181.8368,187.1205,61.4476,0.3039,2.7134,7.4472,1.1723,6.6452,2192,2191.9692,455,1076,,29.4,-4.2365475,60.3305383
12.2209,-0.0075,2.2039,98.6744,185.2184,186.4687,60.0024,0.3028,2.9122,6.6986,1.1082,5.8134,2192.1,2192.1216,456,1124,799,29.1,-4.2365475,60.3305383
12.2273,-0.0038,2.2376,100.5722,186.3804,191.4122,76.512,0.3114,3.2645,5.7335,1.0512,5.0438,2192.35,2192.274,457,5.9,,27.3,-4.2365475,60.3305383
12.229,-0.003,2.2649,106.1028,192.708,199.9305,76.9452,0.3324,3.5073,5.1545,1.3898,4.6984,2192.35,2192.4264,457,5.9,,27.3,-4.2365475,60.3305383
12.2273,0,2.2638,106.8034,204.3628,204.894,78.7513,0.3972,3.5487,5.1095,2.5704,4.6941,2192.73,2192.5788,454,246,,28.4,-4.2365475,60.3305383
12.2241,-0.0043,2.2405,109.2405,207.1555,216.314,73.9005,0.4056,3.0248,5.3258,2.2524,4.915,2192.73,2192.7312,454,246,,28.4,-4.2365475,60.3305383
12.1927,-0.0063,2.2226,107.5249,208.8498,207.2519,70.9973,0.3745,2.7081,5.2659,1.6117,4.9193,2192.73,2192.8836,454,246,,28.4,-4.2365475,60.3305383
12.1899,-0.0057,2.2348,106.7739,206.02,193.7502,58.6838,0.3061,2.5007,5.1914,1.6131,4.8676,2193.1,2193.036,460,184,58,25.9,-4.2365475,60.3305383
12.1897,-0.004,2.2456,104.1661,198.6773,184.2033,56.1039,0.2886,2.5726,5.2277,1.6756,4.8906,2193.1,2193.1884,460,184,58,25.9,-4.2365475,60.3305383
12.1915,-0.0098,2.2411,100.3732,186.4334,169.6887,53.3105,0.2944,2.6275,5.3011,1.6716,4.9207,2193.35,2193.3408,461,79,82,26.4,-4.2365475,60.3305383
12.1897,-0.0091,2.2352,97.7191,174.7835,166.0964,55.7368,0.2814,2.6088,5.3041,1.5412,4.9664,2193.6,2193.4932,462,135,,25.9,-4.2365475,60.3305383
12.1912,-0.01,2.227,95.6307,168.6918,169.3679,54.4874,0.2672,2.578,5.2627,1.4885,4.9151,2193.6,2193.6456,462,135,,25.9,-4.2365475,60.3305383
12.1883,-0.0092,2.2357,95.4356,168.9485,174.4563,55.1184,0.2564,2.5896,5.0709,1.4813,4.7034,2193.85,2193.798,463,281,,26.8,-4.2365475,60.3305383
12.1958,-0.0104,2.2414,94.0308,172.3377,175.8155,55.7523,0.2639,2.6575,4.7904,1.583,4.4874,2193.85,2193.9504,463,281,,26.8,-4.2365475,60.3305383
12.1949,-0.0119,2.2506,95.2517,175.6288,177.2928,54.1106,0.2758,2.8312,4.4741,1.4926,4.1503,2194.1,2194.1028,464,104,18,25.6,-4.2365475,60.3305383
12.1928,-0.0151,2.2723,97.0028,178.4168,178.8994,59.1292,0.3103,3.2246,4.4157,1.5163,4.066,2194.35,2194.2552,465,15,,25.8,-4.2365475,60.3305383
12.199,-0.0116,2.3045,98.0777,180.7696,188.5727,71.8071,0.3432,3.246,4.5913,1.5453,4.166,2194.35,2194.4076,465,15,,25.8,-4.2365475,60.3305383
12.1899,-0.0101,2.3044,97.9254,186.5685,197.0077,73.185,0.3662,3.0881,4.9392,2.1322,4.3942,2194.35,2194.56,465,15,,25.8,-4.2365475,60.3305383
12.1881,-0.0126,2.2619,98.6914,192.8058,198.2255,70.0222,0.3392,2.721,5.7167,3.558,4.9224,2194.83,2194.7124,467,1008,,29.8,-4.2365475,60.3305383
12.1912,-0.0139,2.2121,100.6569,190.4948,195.3054,62.61,0.3213,2.6066,6.9979,1.7982,5.8275,2194.83,2194.8648,467,1008,,29.8,-4.2365475,60.3305383
12.1883,-0.01,2.1929,100.5562,189.9307,194.5861,58.0914,0.2988,2.5854,9.329,1.5691,7.4514,2195.1,2195.0172,468,1020,623,30.6,-4.2365475,60.3305383
12.1881,-0.0113,2.1852,101.7189,184.4211,187.841,58.1877,0.3009,2.6663,12.2363,1.5549,9.3329,2195.1,2195.1696,468,1020,623,30.6,-4.2365475,60.3305383
12.1915,-0.0116,2.189,101.665,184.6866,185.4282,55.3158,0.2853,2.7381,17.5529,1.377,12.8667,2195.3199999999997,2195.322,469,1592,,29,-4.2365475,60.3305383
12.1915,-0.0104,2.1933,107.3508,178.5458,182.0098,55.643,0.2858,2.6968,29.0739,1.2707,20.1352,2195.3199999999997,2195.4744,469,1592,,29,-4.2365475,60.3305383
12.1944,-0.0076,2.2031,104.4364,177.8727,181.8989,54.6378,0.2799,2.5937,33.8459,1.2287,24.0857,2195.92,2195.6268,471,1090,,27,-4.2365475,60.3305383
12.1964,-0.006,2.2108,102.378,179.0876,181.225,55.3277,0.2953,2.4874,28.5391,1.2283,21.2323,2195.92,2195.7792,471,1090,,27,-4.2365475,60.3305383
12.1959,-0.0057,2.2205,102.0625,175.9186,179.982,53.505,0.303,2.5736,25.2106,1.2038,19.3693,2195.92,2195.9316,471,1090,,27,-4.2365475,60.3305383
12.1947,-0.0059,2.2234,102.2183,175.04,179.1912,55.189,0.2949,2.6281,24.4065,1.356,18.836,2196.1,2196.084,472,1245,795,28.2,-4.2365475,60.3305383
12.1944,-0.0048,2.2233,101.8701,175.1212,187.4805,57.5927,0.2983,2.7215,26.6472,1.3438,20.1268,2196.35,2196.2364,473,799,,26.2,-4.2365475,60.3305383
12.1959,-0.006,2.2211,100.7273,173.9707,182.2133,56.7052,0.2903,2.7722,28.4818,1.2595,21.6081,2196.35,2196.3888,473,799,,26.2,-4.2365475,60.3305383
12.1948,-0.0068,2.2169,99.4767,170.2404,181.1323,57.5004,0.3034,2.7941,25.1554,1.2117,19.8291,2196.6,2196.5412,474,926,,26.7,-4.2365475,60.3305383
12.1959,-0.0071,2.2113,97.8658,170.2925,181.137,51.2515,0.2927,2.8122,19.7774,1.193,16.4247,2196.6,2196.6936,474,926,,26.7,-4.2365475,60.3305383
12.1996,-0.0074,2.2067,97.717,170.7514,178.5205,57.9127,0.3015,2.7449,15.9342,1.1747,13.8257,2196.6,2196.846,474,926,,26.7,-4.2365475,60.3305383
12.1975,-0.0098,2.207,97.516,175.012,180.4335,57.2406,0.2975,2.7575,14.6075,1.2233,12.9571,2197.35,2196.9984,477,746,,25.9,-4.2365475,60.3305383
12.1996,-0.0102,2.2158,97.4086,176.9614,187.1538,55.7267,0.2925,2.7512,14.8126,1.3668,13.1128,2197.35,2197.1508,477,746,,25.9,-4.2365475,60.3305383
12.2147,-0.0112,2.2216,96.9927,177.6947,187.6451,54.2796,0.2972,2.7285,16.4723,1.2495,14.4692,2197.35,2197.3032,477,746,,25.9,-4.2365475,60.3305383
12.2179,-0.0099,2.2234,95.3623,178.5585,187.9444,53.9939,0.2949,2.731,18.2152,1.2979,15.9813,2197.35,2197.4556,477,746,,25.9,-4.2365475,60.3305383
12.2322,-0.0101,2.2226,95.05,176.8526,186.6188,55.7633,0.2952,2.748,17.2404,1.334,14.9846,2197.6,2197.608,478,686,,26.6,-4.2365475,60.3305383
12.2288,-0.0108,2.2217,94.4934,175.1862,182.9586,54.8163,0.2773,2.7675,16.0514,1.3434,14.1058,2197.85,2197.7604,479,359,467,27.3,-4.2365475,60.3305383
12.229,-0.0111,2.2318,95.6133,170.7923,175.6125,56.2829,0.2685,2.7563,15.1385,1.3046,13.4241,2197.85,2197.9128,479,359,467,27.3,-4.2365475,60.3305383
12.2335,-0.0126,2.2474,95.5717,169.2451,174.4283,54.9607,0.2521,2.8119,13.8428,1.3766,12.4056,2198.1,2198.0652,480,359,,24.6,-4.2365475,60.3305383
12.2339,-0.0115,2.2738,97.3031,168.1513,172.4547,55.2716,0.2346,2.9214,12.5008,1.4635,11.4439,2198.1,2198.2176,480,359,,24.6,-4.2365475,60.3305383
12.2397,-0.0123,2.2906,98.0555,167.5199,170.0053,54.2014,0.2402,3.1479,10.5136,1.8143,9.9119,2198.35,2198.37,481,243,,22.6,-4.2365475,60.3305383
12.2388,-0.0096,2.2964,98.8779,166.6453,174.2773,56.9981,0.2731,3.0181,8.3249,2.1435,8.1533,2198.5299999999997,2198.5224,482,429,,23.9,-4.2365475,60.3305383
12.2398,-0.0095,2.2822,99.8998,167.8959,174.5596,66.5437,0.3015,2.9297,6.7113,1.9722,6.7573,2198.5299999999997,2198.6748,482,429,,23.9,-4.2365475,60.3305383
12.2388,-0.0107,2.2538,100.8218,181.8203,187.7357,65.2037,0.3126,2.7938,6.2498,2.5569,6.3282,2198.85,2198.8272,483,1103,,28.5,-4.2365475,60.3305383
12.2398,-0.0107,2.2307,102.447,185.5112,190.2397,63.3563,0.295,2.8307,6.2676,1.7252,6.2391,2199.1,2198.9796,484,695,482,28.1,-4.2365475,60.3305383
12.2414,-0.0078,2.2131,102.8758,187.1971,191.0412,58.2292,0.2861,2.8097,6.062,1.7356,5.9342,2199.1,2199.132,484,695,482,28.1,-4.2365475,60.3305383
12.2469,-0.0106,2.2016,103.1873,186.8029,185.7855,57.3458,0.271,2.7267,5.2985,1.3062,5.1172,2199.1,2199.2844,484,695,482,28.1,-4.2365475,60.3305383
12.2539,-0.0084,2.2121,103.078,192.5404,193.8068,62.5179,0.287,2.8587,4.7236,1.2239,4.5512,2199.6,2199.4368,486,109,,27.5,-4.2365475,60.3305383
12.2664,-0.0033,2.2557,104.2889,193.7767,192.8641,64.6612,0.3368,3.1106,3.8302,1.227,3.7681,2199.6,2199.5892,486,109,,27.5,-4.2365475,60.3305383
12.2711,-0.0002,2.3171,105.5652,195.5185,211.322,85.9272,0.3815,3.4264,3.0638,1.2556,3.0879,2199.6,2199.7416,486,109,,27.5,-4.2365475,60.3305383
12.2993,-0.0003,2.3621,106.6573,201.7562,217.2907,86.9849,0.4031,3.4018,2.946,3.1586,2.9974,2199.6,2199.894,486,109,,27.5,-4.2365475,60.3305383
12.3463,0.0005,2.3823,108.3658,204.9322,220.5328,86.1342,0.407,3.5559,2.9211,3.7682,2.9768,2199.6,2200.0464,486,109,,27.5,-4.2365475,60.3305383
12.3557,-0.0064,2.3636,106.8096,224.2452,223.4826,87.1467,0.3992,3.5648,2.4406,3.3299,2.336,2205.1,2204.6184,508,0.12,,9.3,-4.2365475,60.3305383
12.3675,-0.007,2.3591,106.524,223.0976,222.5616,89.532,0.3978,3.6228,2.3663,3.3164,2.2503,2205.1,2204.7708,508,0.12,,9.3,-4.2365475,60.3305383
12.3745,-0.0087,2.3584,105.8624,222.1917,216.5723,91.3315,0.4007,3.6229,2.3199,3.0137,2.1999,2205.1,2204.9232,508,0.12,,9.3,-4.2365475,60.3305383
12.387,-0.0114,2.3844,103.3412,208.3365,202.3902,80.2504,0.3673,3.6607,2.4834,3.2067,2.3558,2205.1,2205.0756,508,0.12,,9.3,-4.2365475,60.3305383
12.3776,-0.0072,2.4532,98.5326,200.1315,189.8177,77.7721,0.2814,3.6448,2.8139,3.2207,2.6762,2205.35,2205.228,509,0.03,,9.1,-4.2365475,60.3305383
12.3773,-0.0013,2.5207,93.0204,186.732,181.1697,63.9048,0.1852,3.6339,4.0315,6.0068,3.743,2205.35,2205.3804,509,0.03,,9.1,-4.2365475,60.3305383
12.3792,-0.0001,2.5315,86.2311,176.8218,162.8976,63.4499,0.1665,3.722,6.828,20.9111,6.0723,2205.6,2205.5328,510,0.29,,12.3,-4.2365475,60.3305383
12.3776,-0.0041,2.4771,81.8606,177.6267,163.3758,71.9862,0.2451,3.6305,6.8534,24.969,6.1972,2205.6,2205.6852,510,0.29,,12.3,-4.2365475,60.3305383
