CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.0577,-0.0077,2.2813,107.4,226.1302,69.0459,0.4007,3.4363,2.7986,2.8108,2.3903,-248.75,2047.13,2047.1392,26X,34,,27.4,-4.0386472,60.3518389
12.1864,-0.0058,2.316,106.5,227.5888,74.9283,0.4439,3.4089,2.9984,3.7695,2.5457,-250.4375,2047.43,2047.2916,27X,17,,26.8,-4.0386472,60.3518389
12.2347,-0.0025,2.3515,106,227.3032,77.3788,0.4149,3.3912,3.0994,3.2618,2.6282,-251.0625,2047.43,2047.444,27X,17,,26.8,-4.0386472,60.3518389
12.515,-0.0063,2.3575,105,217.0784,75.985,0.4122,3.3878,2.9774,3.2882,2.5275,-251.5625,2047.55,2047.5964,38,169,,28.8,-4.0386472,60.3518389
13.684,-0.0119,2.3491,105.65,233.2113,72.0209,0.3784,3.486,2.7528,2.9912,2.3375,-251.5625,2047.55,2047.7488,38,169,,28.8,-4.0386472,60.3518389
13.6796,-0.0076,2.3293,108.6,254.0262,70.8525,0.4352,3.5503,2.5191,2.958,2.1422,-250.6875,2047.55,2047.9012,38,169,,28.8,-4.0386472,60.3518389
12.1711,-0.0089,2.3291,103,189.6969,78.4233,0.3589,3.6103,3.0808,3.4941,2.6754,-251.1875,2049.5,2049.1204,28X,59,,28.2,-4.0386472,60.3518389
12.2022,-0.0036,2.3455,103.4,195.6445,86.4483,0.4199,3.8274,2.863,3.2099,2.4677,-249.25,2049.5,2049.2728,28X,59,,28.2,-4.0386472,60.3518389
12.2547,-0.0052,2.3197,108.1,212.4106,83.3726,0.4051,3.7089,2.6723,0.7192,2.3073,-249,2049.5,2049.4252,28X,59,,28.2,-4.0386472,60.3518389
12.5069,-0.0105,2.3065,107,221.0912,82.8611,0.4013,3.6387,2.68,1.0775,2.3155,-249.25,2049.5,2049.5776,28X,59,,28.2,-4.0386472,60.3518389
12.147,-0.009,2.3177,108.4,219.1114,79.5363,0.3791,3.6029,2.698,2.0777,2.3169,-249.625,2049.5,2049.73,28X,59,,28.2,-4.0386472,60.3518389
12.1103,-0.0065,2.3368,101.7,215.1153,79.0347,0.3918,3.8509,2.9042,3.7658,2.4758,-247.0625,2049.5,2049.8824,28X,59,,28.2,-4.0386472,60.3518389
12.2817,-0.0052,2.347,108.1,240.3591,79.3236,0.4252,3.7556,2.6141,3.3819,2.3466,-251.0625,2051.7,2051.254,29X,11,,25.7,-4.0386472,60.3518389
12.182,-0.0054,2.3501,106.75,239.4866,79.8642,0.4147,3.7102,2.7388,3.2821,2.4387,-250.5625,2051.7,2051.4064,29X,11,,25.7,-4.0386472,60.3518389
12.2284,0.0051,2.3285,104.85,224.4102,80.6314,0.3894,3.9107,2.7475,3.4347,2.4292,-251.5625,2051.7,2051.5588,29X,11,,25.7,-4.0386472,60.3518389
12.2208,-0.0058,2.3284,97.6,211.0811,80.2204,0.3869,4.0236,2.796,3.5935,2.4765,-252.75,2051.7,2051.7112,29X,11,,25.7,-4.0386472,60.3518389
12.2438,-0.0068,2.3634,92.7,209.466,75.0015,0.3621,4.8432,2.9801,3.5989,2.629,-252.9375,2051.7,2051.8636,29X,11,,25.7,-4.0386472,60.3518389
12.301,0.0043,2.4691,90.5,213.8444,69.5028,0.3176,4.6448,3.2824,1.4527,2.8629,-251.3125,2051.7,2052.016,29X,11,,25.7,-4.0386472,60.3518389
12.0836,0.008,2.4804,89.15,213.8216,64.989,0.3159,4.1261,3.3863,8.5102,2.9094,-248.875,2051.7,2052.1684,29X,11,,25.7,-4.0386472,60.3518389
12.0605,-0.0094,2.3987,89.3,215.4328,68.6853,0.3424,3.6988,3.4733,3.5468,2.9706,-247.9375,2052.73,2052.3208,30X,38,,27,-4.0386472,60.3518389
12.0633,-0.0091,2.3436,94.25,217.7214,73.4444,0.3864,3.4309,3.1889,3.3202,2.7951,-249.8125,2052.73,2052.4732,30X,38,,27,-4.0386472,60.3518389
12.066,-0.0099,2.3146,99.8,224.6593,76.8971,0.4069,3.3953,2.8968,2.9323,2.5744,-250.6875,2052.73,2052.6256,30X,38,,27,-4.0386472,60.3518389
12.0734,-0.01,2.3207,104.3,227.4561,75.4917,0.3859,3.405,2.9802,3.0323,2.6582,-250.625,2052.73,2052.778,30X,38,,27,-4.0386472,60.3518389
12.0659,-0.0117,2.3289,103.75,227.204,75.3362,0.3858,3.4337,3.0623,3.1523,2.7385,-252.9375,2052.9,2052.9304,31X,7.8,,25.6,-4.0386472,60.3518389
12.066,-0.0136,2.3318,103.2,220.8986,80.4837,0.3582,3.4629,3.1503,3.2096,2.8188,-250.5,2052.9,2053.0828,31X,7.8,,25.6,-4.0386472,60.3518389
12.0702,-0.0145,2.3405,104.6,221.9911,84.7492,0.3672,3.5295,3.2294,3.2102,2.8854,-248.1875,2053.38,2053.2352,33X,18,,26.1,-4.0386472,60.3518389
12.066,-0.0127,2.3484,105.15,225.2099,88.8413,0.3588,3.7543,3.2712,3.4653,2.9187,-246.25,2053.38,2053.3876,33X,18,,26.1,-4.0386472,60.3518389
12.0734,-0.0112,2.3523,105.3,227.3372,86.4249,0.3658,3.8041,3.303,3.8525,2.9328,-245.375,2053.63,2053.54,565Y,68,,26.1,-4.0386472,60.3518389
12.0467,-0.0091,2.3482,106.15,230.9637,80.7396,0.3789,3.7163,3.3163,3.9876,2.9367,-243.5,2053.63,2053.6924,565Y,68,,26.1,-4.0386472,60.3518389
12.0341,-0.0117,2.3202,105.3,230.3488,76.0042,0.3714,3.5963,3.3392,2.9384,2.9454,-244.5,2053.63,2053.8448,565Y,68,,26.1,-4.0386472,60.3518389
12.0034,-0.0109,2.2906,105.4,227.5524,70.9712,0.3804,3.3603,3.3099,2.695,2.8903,-246.375,2053.63,2053.9972,565Y,68,,26.1,-4.0386472,60.3518389
12.0108,-0.0093,2.2531,105.55,223.0527,70.0052,0.3581,3.2148,3.0386,2.1082,2.5973,-245.25,2054.45,2054.1496,35X,8.1,,24.5,-4.0386472,60.3518389
12.0014,-0.0069,2.2374,105.3,217.7095,70.0052,0.3779,3.1502,3.141,2.0812,2.6744,-246.625,2054.45,2054.302,35X,8.1,,24.5,-4.0386472,60.3518389
12.0356,-0.0046,2.2602,105.35,213.5507,70.7436,0.3592,3.3486,3.2824,2.1625,2.7901,-249.125,2054.45,2054.4544,35X,8.1,,24.5,-4.0386472,60.3518389
12.1249,0.0025,2.3122,106.1,216.7976,75.5459,0.3642,3.6442,3.4363,3.55,2.9282,-247.9375,2054.57,2054.6068,36X,126,,28.4,-4.0386472,60.3518389
12.1545,0.0046,2.3548,105.5,217.5791,78.5003,0.343,3.5285,3.4582,3.5635,2.9835,-248.375,2054.75,2054.7592,39,585,,30.2,-4.0386472,60.3518389
12.1941,0.0012,2.3515,105.2,223.189,81.244,0.3587,3.6294,3.4183,3.4628,2.9606,-244.25,2054.85,2054.9116,37X,7.3,,23.3,-4.0386472,60.3518389
12.1932,-0.0068,2.3356,104.4,221.5482,78.4307,0.3535,3.5412,3.3042,3.2802,2.8832,-240.5,2054.85,2055.064,37X,7.3,,23.3,-4.0386472,60.3518389
12.1884,-0.0135,2.3226,105.25,222.6277,72.3748,0.3729,3.72,3.1962,2.9983,2.8167,-241.3125,2055.29,2055.2164,38X,119,,27.5,-4.0386472,60.3518389
12.2122,-0.0137,2.3336,105.3,226.7738,74.1356,0.3703,3.5985,3.1681,3.1647,2.8215,-242,2055.29,2055.3688,38X,119,,27.5,-4.0386472,60.3518389
12.2208,-0.0101,2.3429,105.6,228.0389,78.2304,0.3844,3.5642,3.1859,3.6249,2.831,-243,2055.57,2055.5212,39X,59,,27.1,-4.0386472,60.3518389
12.2007,-0.0145,2.3368,105.1,227.2469,79.9005,0.3646,3.5192,3.2237,3.5288,2.8593,-245.5,2055.57,2055.6736,39X,59,,27.1,-4.0386472,60.3518389
12.2284,-0.0102,2.3342,105,227.621,77.5987,0.3533,3.6841,3.1572,3.1706,2.837,-245.0625,2055.57,2055.826,39X,59,,27.1,-4.0386472,60.3518389
12.2153,-0.0053,2.3446,105.3,228.8571,78.0759,0.3547,3.5967,3.1035,3.1995,2.7955,-243.1875,2056.12,2055.9784,40X,186,,28.7,-4.0386472,60.3518389
12.2103,-0.0076,2.3462,105.7,228.8307,80.9653,0.3719,3.637,3.1532,3.363,2.8426,-243.75,2056.12,2056.1308,40X,186,,28.7,-4.0386472,60.3518389
12.2133,-0.009,2.3538,106.5,231.5291,79.9423,0.3899,3.5822,3.21,3.2919,2.8939,-245.375,2056.27,2056.2832,41X,22,,25.3,-4.0386472,60.3518389
12.2256,-0.0069,2.3537,106.1,227.9992,78.6578,0.4075,3.69,3.2001,3.2792,2.8815,-246.4375,2056.27,2056.4356,41X,22,,25.3,-4.0386472,60.3518389
12.1492,-0.0135,2.3312,105.95,230.7777,76.0274,0.4001,3.6163,3.186,3.1222,2.8859,-242.75,2056.27,2056.588,41X,22,,25.3,-4.0386472,60.3518389
12.1222,-0.0142,2.3115,105.05,228.3287,79.5001,0.3875,3.483,3.1871,2.574,2.8709,-239,2057.12,2056.7404,42X,177,,27.7,-4.0386472,60.3518389
12.1379,-0.0154,2.2874,105.7,227.3131,80.4553,0.3513,3.4044,3.0606,3.1266,2.758,-239.375,2057.12,2056.8928,42X,177,,27.7,-4.0386472,60.3518389
12.1536,-0.0137,2.2961,107.05,227.101,79.5857,0.3705,3.4849,3.0264,2.9853,2.7305,-240.5,2057.12,2057.0452,42X,177,,27.7,-4.0386472,60.3518389
12.2153,-0.0102,2.3156,107.2,230.2026,78.181,0.379,3.5636,3.1755,2.7764,2.8633,-242.5625,2057.22,2057.1976,43X,149,,28.1,-4.0386472,60.3518389
12.2402,-0.0057,2.3384,107.3,230.2484,78.1524,0.3998,3.5664,3.3527,3.5718,3.044,-242.125,2057.38,2057.35,572Y,65,,25.3,-4.0386472,60.3518389
12.2347,-0.0094,2.3361,106.7,231.8359,85.1856,0.3868,3.6253,3.864,2.7932,3.4644,-241.25,2057.57,2057.5024,44X,1194,,30,-4.0386472,60.3518389
12.1521,-0.0101,2.3142,105.1,231.4544,82.5828,0.3656,3.4546,4.2192,2.7822,3.7661,-240.0625,2057.57,2057.6548,44X,1194,,30,-4.0386472,60.3518389
12.066,-0.0138,2.2777,103.85,229.7963,73.1779,0.3336,3.1812,4.5237,2.1005,3.9554,-237.6875,2057.57,2057.8072,44X,1194,,30,-4.0386472,60.3518389
12.0163,-0.0171,2.2352,103.7,222.2785,61.7969,0.2833,2.8433,4.8248,1.7924,4.139,-236.875,2058.1,2057.9596,45X,28,,25.8,-4.0386472,60.3518389
11.9876,-0.0166,2.2102,103.3,214.3248,55.7839,0.286,2.677,5.2985,1.5758,4.5133,-234.75,2058.1,2058.112,45X,28,,25.8,-4.0386472,60.3518389
11.9859,-0.0116,2.2131,104.2,208.9755,57.9333,0.312,2.7241,5.5279,1.6399,4.8005,-233.875,2058.1,2058.2644,45X,28,,25.8,-4.0386472,60.3518389
11.9803,-0.0117,2.237,103.9,206.4211,61.7696,0.3526,2.9582,5.6529,1.7339,4.9187,-229.9375,2058.52,2058.4168,40,869,671,29.2,-4.0386472,60.3518389
12.0005,-0.0074,2.2704,103.55,206.5008,65.0119,0.364,3.047,5.6263,2.5322,4.88,-229.125,2058.52,2058.5692,40,869,671,29.2,-4.0386472,60.3518389
12.008,-0.0057,2.2708,103.9,208.2624,64.1351,0.3583,2.9394,5.4948,2.68,4.8028,-228.0625,2058.52,2058.7216,40,869,671,29.2,-4.0386472,60.3518389
12.0108,-0.0043,2.2488,104.85,210.8831,62.4727,0.3595,2.8951,5.74,1.7035,4.9945,-225.5625,2058.52,2058.874,40,869,671,29.2,-4.0386472,60.3518389
11.9721,-0.0083,2.2339,103.8,207.5584,52.9189,0.3385,2.9677,7.1638,1.9954,5.9531,-226.75,2060.25,2059.7884,42,590,671,28.9,-4.0386472,60.3518389
11.9679,-0.0086,2.2392,104.75,207.9802,55.0835,0.3467,2.8251,7.3508,1.5223,6.0976,-225.1875,2060.25,2059.9408,42,590,671,28.9,-4.0386472,60.3518389
11.9766,-0.0125,2.2303,104.8,208.0151,55.4255,0.3508,2.7115,7.5109,1.6959,6.2929,-224.125,2060.25,2060.0932,42,590,671,28.9,-4.0386472,60.3518389
11.9721,-0.0206,2.2267,104.7,209.6332,57.1253,0.3498,2.5749,6.9648,1.7812,5.8092,-222.8125,2060.25,2060.2456,42,590,671,28.9,-4.0386472,60.3518389
11.9776,-0.0233,2.2241,104.45,207.8525,59.2747,0.3291,2.6689,6.7434,1.8842,5.6151,-224.125,2060.25,2060.398,42,590,671,28.9,-4.0386472,60.3518389
11.9611,-0.0227,2.2225,103.8,208.1657,57.7211,0.3147,2.7334,6.5211,1.6119,5.4584,-223.125,2060.25,2060.5504,42,590,671,28.9,-4.0386472,60.3518389
11.9849,-0.0256,2.2151,103.75,206.8881,57.6428,0.3589,2.9339,5.9506,1.5192,5.0927,-225.625,2060.25,2060.7028,42,590,671,28.9,-4.0386472,60.3518389
11.955,-0.0173,2.193,105.45,200.9961,53.5508,0.3498,2.7789,12.4452,1.4965,9.4644,-218.0625,2064.11,2063.7508,46,697,544,28.9,-4.0386472,60.3518389
11.955,-0.0201,2.1973,104.3,199.0616,52.5452,0.3501,2.8157,11.3069,1.4852,8.7494,-219.75,2064.11,2063.9032,46,697,544,28.9,-4.0386472,60.3518389
11.9582,-0.0213,2.2095,103.05,192.3558,52.5452,0.3289,2.8161,10.5296,1.7078,8.2148,-220.3125,2064.11,2064.0556,46,697,544,28.9,-4.0386472,60.3518389
11.955,-0.0202,2.2279,102.1,190.1989,51.846,0.3086,2.9467,9.4148,1.7278,7.4469,-220.5625,2064.11,2064.208,46,697,544,28.9,-4.0386472,60.3518389
11.9747,-0.0171,2.2484,102.4,193.3439,55.9206,0.312,3.2591,8.2657,1.692,6.7252,-221.8125,2064.11,2064.3604,46,697,544,28.9,-4.0386472,60.3518389
11.9831,-0.0116,2.2652,102.4,197.5848,59.5995,0.3388,3.3784,7.6147,1.8952,6.2978,-221.8125,2064.11,2064.5128,46,697,544,28.9,-4.0386472,60.3518389
11.9748,-0.0074,2.2534,107.15,206.7948,64.9716,0.3488,2.9792,5.0648,2.1115,4.3124,-220.6875,2068.78,2068.3228,48,279,16,28.1,-4.0386472,60.3518389
11.9637,-0.0064,2.2697,107.3,206.9304,66.2705,0.331,2.9356,4.4898,2.4558,3.8873,-222.5,2068.78,2068.4752,48,279,16,28.1,-4.0386472,60.3518389
11.9825,-0.0062,2.278,105.9,206.8602,68.5612,0.3411,3.1864,4.3724,2.8214,3.8166,-218.875,2068.78,2068.6276,48,279,16,28.1,-4.0386472,60.3518389
11.9731,-0.0053,2.303,105.4,214.6477,67.5591,0.3811,3.418,4.6039,3.5858,4.0067,-218.875,2068.78,2068.78,48,279,16,28.1,-4.0386472,60.3518389
11.9851,-0.0015,2.3328,105.8,216.2877,73.5973,0.3956,3.4449,4.8411,3.5455,4.1976,-219.9375,2068.78,2068.9324,48,279,16,28.1,-4.0386472,60.3518389
11.9703,-0.0019,2.3486,104.8,219.1614,73.2391,0.4069,3.2072,4.8583,3.0109,4.2239,-221.5,2068.78,2069.0848,48,279,16,28.1,-4.0386472,60.3518389
11.9731,-0.0047,2.3403,104,221.418,72.7853,0.3645,3.0067,4.8417,3.2811,4.1772,-222.1875,2068.78,2069.2372,48,279,16,28.1,-4.0386472,60.3518389
11.9776,-0.0152,2.2549,102.15,201.6728,55.2547,0.3792,2.9342,5.0234,2.0051,3.9988,-227.8125,2070.6,2070.1516,50,417,374,27.6,-4.0386472,60.3518389
11.9851,-0.0159,2.2586,102.1,202.2088,57.5565,0.3458,2.9818,4.6538,1.8543,3.7567,-228.125,2070.6,2070.304,50,417,374,27.6,-4.0386472,60.3518389
11.9924,-0.0141,2.2883,102.45,205.1089,61.1388,0.3631,3.1295,4.5767,3.5666,3.6887,-226.9375,2070.6,2070.4564,50,417,374,27.6,-4.0386472,60.3518389
12.0702,-0.0122,2.3403,101.8,209.5964,67.1034,0.3699,3.3921,4.6424,3.41,3.768,-225.8125,2070.6,2070.6088,50,417,374,27.6,-4.0386472,60.3518389
12.0702,-0.0128,2.3758,101.7,212.7911,71.1479,0.3812,3.4444,4.5277,3.4862,3.7306,-227.5625,2070.6,2070.7612,50,417,374,27.6,-4.0386472,60.3518389
12.0688,-0.0145,2.3786,101.35,216.5462,71.6994,0.3482,3.4893,4.3566,3.7963,3.6052,-231.3125,2070.6,2070.9136,50,417,374,27.6,-4.0386472,60.3518389
12.0444,-0.0164,2.3644,101.7,219.2793,73.2766,0.3446,3.3672,4.2082,3.5218,3.4832,-231.3125,2070.6,2071.066,50,417,374,27.6,-4.0386472,60.3518389
11.9524,-0.0172,2.2168,107.45,207.9667,54.3202,0.336,2.6654,5.9665,1.6651,4.862,-218.4375,2078.27,2077.7716,53,577,220,29.8,-4.0386472,60.3518389
11.9686,-0.018,2.2255,105.8,203.5842,53.0904,0.3366,2.6843,6.2845,1.7387,5.1092,-219.3125,2078.27,2077.924,53,577,220,29.8,-4.0386472,60.3518389
11.9555,-0.0149,2.2396,106.2,198.6303,51.437,0.3291,2.778,6.3804,2.236,5.2734,-219.4375,2078.27,2078.0764,53,577,220,29.8,-4.0386472,60.3518389
11.9644,-0.0146,2.2451,105.5,195.5285,53.9542,0.3493,2.8021,6.5144,2.1969,5.454,-220.375,2078.27,2078.2288,53,577,220,29.8,-4.0386472,60.3518389
11.9602,-0.0109,2.2584,104.55,193.7439,56.8172,0.3454,2.8909,6.3198,2.2503,5.3489,-220.0625,2078.27,2078.3812,53,577,220,29.8,-4.0386472,60.3518389
11.9721,-0.0086,2.2754,103.9,205.7424,58.9666,0.3469,2.8577,5.8728,2.9991,5.0501,-215.875,2078.27,2078.5336,53,577,220,29.8,-4.0386472,60.3518389
11.9773,-0.0071,2.2858,104.6,211.7676,57.07,0.3224,2.7641,6.0043,2.1512,5.1594,-210.6875,2078.27,2078.686,53,577,220,29.8,-4.0386472,60.3518389
11.9705,-0.0104,2.3086,106.3,205.079,53.1996,0.3104,2.9398,6.135,1.5059,5.3914,-212.9375,2079.9,2079.448,54,1052,1058,29.4,-4.0386472,60.3518389
11.9799,-0.0087,2.3753,104.5,202.9317,58.0589,0.3394,3.2523,5.739,1.8696,5.2229,-213.75,2079.9,2079.6004,54,1052,1058,29.4,-4.0386472,60.3518389
11.9611,-0.0053,2.3988,102.25,205.3087,63.529,0.3619,3.4356,5.7754,3.8049,5.2937,-214.3125,2079.9,2079.7528,54,1052,1058,29.4,-4.0386472,60.3518389
11.9849,-0.0101,2.3855,101.6,212.3956,72.981,0.3882,3.1916,5.6741,3.3731,5.219,-216.125,2079.9,2079.9052,54,1052,1058,29.4,-4.0386472,60.3518389
11.9679,-0.0121,2.356,105.85,221.8988,71.9432,0.387,2.9511,5.642,2.2613,5.1417,-218.0625,2079.9,2080.0576,54,1052,1058,29.4,-4.0386472,60.3518389
11.9773,-0.0113,2.3003,108.9,218.0792,67.9563,0.3808,2.7375,5.541,1.8543,4.9927,-216.25,2079.9,2080.21,54,1052,1058,29.4,-4.0386472,60.3518389
11.9679,-0.0171,2.2314,108.5,217.3391,57.0728,0.3351,2.6315,5.4298,1.2492,4.7839,-216.375,2079.9,2080.3624,54,1052,1058,29.4,-4.0386472,60.3518389
11.9648,-0.0111,2.2492,105.7,220.0524,53.5988,0.3186,2.7563,6.8518,1.5309,5.6507,-215.4375,2082.02,2081.5816,55,1342,943,29.5,-4.0386472,60.3518389
11.9851,-0.0139,2.214,110.1,217.7314,48.9953,0.3252,2.6316,7.7624,1.4233,6.1631,-218.375,2082.02,2081.734,55,1342,943,29.5,-4.0386472,60.3518389
11.9714,-0.0205,2.1904,108.2,214.0882,44.2369,0.3197,2.569,8.951,1.425,7.0095,-220.125,2082.02,2081.8864,55,1342,943,29.5,-4.0386472,60.3518389
11.9758,-0.0215,2.1926,108.35,208.3176,45.7737,0.3226,2.4752,9.8299,1.7404,7.5962,-219.1875,2082.02,2082.0388,55,1342,943,29.5,-4.0386472,60.3518389
11.9808,-0.0187,2.1996,106.5,211.8525,44.409,0.3078,2.4854,10.2923,1.7627,7.8212,-215.0625,2082.02,2082.1912,55,1342,943,29.5,-4.0386472,60.3518389
11.9851,-0.0144,2.2079,105,212.7431,49.9522,0.3218,2.5619,11.3655,1.4721,8.3427,-213.5,2082.02,2082.3436,55,1342,943,29.5,-4.0386472,60.3518389
11.9689,-0.0169,2.1957,105,214.0971,50.9395,0.315,2.6376,11.81,1.3509,8.4306,-214.75,2082.02,2082.496,55,1342,943,29.5,-4.0386472,60.3518389
11.9963,-0.0029,2.2036,109.5,221.914,54.3593,0.3895,3.2667,9.5857,1.5874,7.1057,-218.5,2083.32,2082.9532,56,707,605,28.9,-4.0386472,60.3518389
12.016,0.0019,2.1922,116.6,218.3392,54.0192,0.4299,3.6049,9.9435,0.8716,7.3451,-219.0625,2083.32,2083.1056,56,707,605,28.9,-4.0386472,60.3518389
12.1425,0.008,2.1848,115.65,213.3745,56.2463,0.4297,3.4183,9.79,0.8723,7.2956,-217.5,2083.32,2083.258,56,707,605,28.9,-4.0386472,60.3518389
