CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RACH,RDEP,RLA2,RLA4,RMED,RMIC,RPCH,RSHAL,SP,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.185,-0.0046,2.269,96.4921,162.169,53.0898,0.281,2.2112,28.7074,29.672,12.8961,27.7388,22.2278,2.2777,26.7453,5.0202,14.301,2155.03,2155.1388,57,349,3.8,26.5,-4.1381753,60.3443039
12.185,-0.0053,2.2474,97.5294,167.886,52.495,0.2811,2.2479,28.3176,31.0393,12.5415,28.0255,22.5225,2.0609,26.8254,5.1684,15.3145,2155.26,2155.2912,58,1383,,31.8,-4.1381753,60.3443039
12.185,-0.0058,2.2255,98.4756,173.467,52.1174,0.2721,2.227,27.794,30.3162,12.0177,26.5017,21.9041,1.7674,26.0365,5.1017,16.0408,2155.26,2155.4436,58,1383,,31.8,-4.1381753,60.3443039
12.185,-0.005,2.1666,99.7726,177.139,51.5881,0.269,2.2185,27.1486,25.5615,11.2224,22.8955,18.999,1.5657,24.831,4.7298,16.6497,2155.74,2155.596,60,38,,23.3,-4.1381753,60.3443039
12.185,-0.0058,2.1634,99.8769,178.898,52.8768,0.2618,2.198,25.2252,22.7847,11.017,20.3961,17.5237,1.4513,19.3098,4.6695,17.1677,2155.74,2155.7484,60,38,,23.3,-4.1381753,60.3443039
12.2074,-0.0059,2.1729,98.5001,181.769,54.7442,0.26,2.2175,26.1515,25.1874,11.6381,21.8575,18.641,1.6648,19.4291,4.7408,17.6661,2156.05,2155.9008,61,612,1571,24.8,-4.1381753,60.3443039
12.2299,-0.0174,2.256,95.9934,181.978,59.4021,0.2958,2.6308,24.4177,21.9244,10.7496,19.2626,16.8715,3.1411,19.7886,4.7634,17.977,2156.05,2156.0532,61,612,1571,24.8,-4.1381753,60.3443039
12.2074,-0.0315,2.3992,94.3968,180.021,63.456,0.3258,3.1691,23.5508,20.3273,9.8537,17.9448,15.4457,3.2244,22.0286,4.7193,17.9107,2156.24,2156.2056,62,1479,,30.2,-4.1381753,60.3443039
12.1962,-0.0369,2.398,94.0027,176.172,65.3227,0.3317,3.6899,21.3831,18.986,9.5653,17.3335,14.5922,2.0549,18.4241,4.5675,17.7253,2156.45,2156.358,63,5.8,,24,-4.1381753,60.3443039
12.2,-0.0194,2.5282,94.1875,173.163,60.3473,0.3065,3.7557,19.2425,17.3018,8.8073,15.7779,13.3291,2.0685,16.4064,4.4411,17.6385,2156.45,2156.5104,63,5.8,,24,-4.1381753,60.3443039
12.2074,0.0084,2.5116,94.7506,172.538,60.3784,0.2685,3.3701,18.7178,16.4574,8.6096,15.2612,13.0064,2.3451,16.5014,4.2879,17.3748,2156.75,2156.6628,64,5.2,,22.4,-4.1381753,60.3443039
12.2074,0.0262,2.2695,96.2687,173.433,57.5781,0.2576,3.062,17.4589,17.4097,8.8271,16.5063,13.7294,1.8329,15.7608,4.2678,16.8553,2156.75,2156.8152,64,5.2,,22.4,-4.1381753,60.3443039
12.185,0.0311,2.2401,98.3628,176.344,56.849,0.2607,2.5538,14.5427,19.1993,9.4593,17.0468,14.9488,1.6611,15.3702,4.3371,16.1239,2156.95,2156.9676,65,1537,1462,29.8,-4.1381753,60.3443039
12.2074,0.0172,2.2027,99.4896,177.67,50.3824,0.259,2.4334,13.8895,17.4514,8.893,15.4278,13.8548,1.5839,14.1424,4.2859,15.0028,2156.95,2157.12,65,1537,1462,29.8,-4.1381753,60.3443039
12.2074,0.0121,2.2078,100.226,178.345,48.6023,0.2576,2.4135,12.4067,14.5719,8.4563,13.3276,12.281,1.7756,11.5824,4.1533,14.4353,2156.95,2157.2724,65,1537,1462,29.8,-4.1381753,60.3443039
12.185,0.002,2.2537,101.626,179.324,53.9892,0.2635,2.4331,12.0963,12.2389,7.794,11.3357,10.6823,2.0023,11.106,4.2326,14.4518,2156.95,2157.4248,65,1537,1462,29.8,-4.1381753,60.3443039
12.2074,0.0018,2.2628,103.199,183.887,61.0512,0.2717,2.4693,11.4582,10.8897,7.2512,9.9232,9.4329,1.8702,9.8686,4.0099,14.1749,2158.03,2157.5772,69,750,181,28.8,-4.1381753,60.3443039
12.2074,0.0047,2.1692,104.433,189.856,65.4967,0.2858,2.4722,10.1064,9.4136,6.5156,8.7673,7.9522,1.5893,7.7616,3.7553,13.9204,2158.03,2157.7296,69,750,181,28.8,-4.1381753,60.3443039
12.2074,0.0083,2.1598,105.953,192.716,65.2546,0.296,2.4316,9.6882,8.2825,5.7119,7.6548,7.1046,1.4437,7.321,3.4754,13.7091,2158.03,2157.882,69,750,181,28.8,-4.1381753,60.3443039
12.2074,0.0151,2.1792,106.928,197.603,66.8732,0.2996,2.5089,9.3535,7.2791,5.5207,7.2791,6.7339,1.5678,6.7835,3.5865,13.3451,2158.03,2158.0344,69,750,181,28.8,-4.1381753,60.3443039
12.2074,0.0183,2.2417,106.701,198.902,68.0376,0.3028,2.5809,9.0849,7.7931,5.8689,7.7931,7.4589,2.0305,6.6067,3.9915,12.8379,2158.25,2158.1868,70,1868,,29.5,-4.1381753,60.3443039
12.2,0.0142,2.2868,105.608,198.844,71.0911,0.3099,2.6788,9.0302,7.7467,5.8748,7.7467,7.3155,2.878,6.5386,3.8468,12.3279,2158.25,2158.3392,70,1868,,29.5,-4.1381753,60.3443039
12.2149,0.0053,2.2241,104.913,197.205,71.48,0.3133,2.7703,8.6217,7.8454,6.1719,7.8454,7.3388,3.2132,6.73,3.9874,11.8581,2158.5,2158.4916,71,2073,,30,-4.1381753,60.3443039
12.2074,0.0039,2.225,104.915,193.171,70.8228,0.2962,2.712,7.943,9.2493,6.854,9.2493,8.8175,1.774,7.2012,4.1286,11.4125,2158.5,2158.644,71,2073,,30,-4.1381753,60.3443039
12.2074,0.0132,2.1453,105.186,192.135,65.5864,0.2824,2.6792,7.879,10.7893,7.139,9.8861,9.4603,1.6711,7.2742,4.2961,11.2301,2159.04,2158.7964,73,503,326,27.7,-4.1381753,60.3443039
12.185,0.0155,2.1344,105.492,192.497,60.0103,0.2759,2.53,7.7741,8.3976,5.8138,8.3976,7.5628,1.4739,7.6326,3.7677,11.302,2159.04,2158.9488,73,503,326,27.7,-4.1381753,60.3443039
12.2,0.0125,2.1835,105.413,193.833,60.8072,0.287,2.578,7.5423,8.5606,6.2926,8.5606,7.4245,1.5041,6.5783,4.3371,11.524,2159.04,2159.1012,73,503,326,27.7,-4.1381753,60.3443039
12.2074,0.0069,2.2473,105.516,198.266,67.6784,0.3172,2.7683,7.2841,8.9333,6.5134,8.9333,8.9333,2.4965,5.792,4.2359,11.6367,2159.27,2159.2536,74,508,,27.2,-4.1381753,60.3443039
12.2,0.0001,2.2843,106.261,200.569,70.7716,0.329,2.818,7.1621,7.8761,6.1314,7.8761,7.4699,3.0893,5.6726,3.74,11.5367,2159.27,2159.406,74,508,,27.2,-4.1381753,60.3443039
12.2074,0.0001,2.2647,106.413,203.186,70.1862,0.3114,2.797,6.8938,7.1236,5.5665,7.1236,6.944,2.611,5.6271,3.654,11.3358,2159.56,2159.5584,75,1943,,30.6,-4.1381753,60.3443039
12.185,0,2.1649,107.125,205.443,67.5816,0.2965,2.7539,6.8507,7.3519,5.8021,7.3519,7.3604,2.0896,5.6295,3.6396,10.7369,2159.56,2159.7108,75,1943,,30.6,-4.1381753,60.3443039
12.2074,0,2.1465,106.699,206.009,73.0632,0.2837,2.6707,6.8157,8.6646,6.6616,8.6646,8.3506,2.4935,5.3302,4.1573,10.0942,2160.03,2159.8632,77,779,660,27.1,-4.1381753,60.3443039
12.2074,0,2.282,105.7,206.096,77.3413,0.2948,2.6493,6.8781,7.3327,5.7654,7.3327,6.175,3.1508,5.0397,3.8646,8.9065,2160.03,2160.0156,77,779,660,27.1,-4.1381753,60.3443039
12.2187,0,2.2811,105.078,206.92,79.1799,0.3106,2.7349,6.9218,5.9221,5.0565,5.9221,5.6332,2.4728,4.9392,3.6687,7.9988,2160.03,2160.168,77,779,660,27.1,-4.1381753,60.3443039
12.2074,-0.0001,2.2939,104.941,205.681,73.9963,0.3183,2.8172,7.1949,6.0535,4.9007,6.0535,5.6289,2.6018,4.7265,3.6061,7.1925,2160.31,2160.3204,78,820,,28.2,-4.1381753,60.3443039
12.1962,-0.0005,2.2935,105.386,204.38,67.8253,0.3229,2.8871,7.5672,6.7624,5.2893,6.7624,6.1132,2.6471,5.6853,3.5158,6.4286,2160.54,2160.4728,79,990,,27.7,-4.1381753,60.3443039
12.2074,-0.0001,2.2617,106.26,198.968,63.7216,0.3239,2.8471,7.6469,9.1124,5.8291,9.1124,7.296,2.4138,6.1903,3.9494,6.3975,2160.54,2160.6252,79,990,,27.7,-4.1381753,60.3443039
12.2074,-0.0001,2.2617,106.857,193.593,58.7557,0.317,2.7894,8.2535,13.0533,7.7537,13.0533,10.5406,2.8467,9.0757,4.7278,6.3985,2160.74,2160.7776,80,299,,23.5,-4.1381753,60.3443039
12.2,0.0013,2.1552,106.957,191.799,57.053,0.2986,2.654,10.2537,26.9643,11.8324,24.6003,19.7872,1.8903,14.5406,5.1803,6.3995,2161.09,2160.93,81,26,71,20.3,-4.1381753,60.3443039
12.2074,-0.0002,2.1304,106.125,191.323,54.9521,0.2898,2.5866,10.8715,16.3372,9.6928,16.3372,13.6636,1.5148,12.2434,4.8038,6.4005,2161.09,2161.0824,81,26,71,20.3,-4.1381753,60.3443039
12.2,-0.0007,2.1273,105.332,190.778,55.3327,0.2889,2.3307,11.4742,12.5176,8.3534,12.2241,10.9178,1.2898,11.2566,4.5957,6.4015,2161.3,2161.2348,82,5.9,,23.1,-4.1381753,60.3443039
12.2074,-0.0006,2.1206,105.122,189.587,56.41,0.2923,2.3257,12.873,11.3474,7.5803,10.587,9.5789,1.2695,10.3542,4.5624,6.907,2161.3,2161.3872,82,5.9,,23.1,-4.1381753,60.3443039
12.2,0.0003,2.166,105.215,188.741,57.0053,0.2929,2.4115,13.6817,11.2335,7.6649,10.4601,9.4816,1.8692,11.5925,4.6584,7.638,2161.5,2161.5396,83,41,,25.5,-4.1381753,60.3443039
12.1962,-0.0008,2.2495,105.296,188.537,57.3527,0.2841,2.4695,13.9795,12.7685,8.4229,11.8177,10.6651,1.8427,13.5232,4.5841,8.3694,2161.74,2161.692,84,210,113,27,-4.1381753,60.3443039
12.1962,-0.0001,2.2193,105.545,188.157,56.0947,0.2738,2.5091,14.3054,13.028,8.8633,12.5001,11.2207,2.0344,17.7202,4.6337,8.7899,2161.74,2161.8444,84,210,113,27,-4.1381753,60.3443039
12.2,0.0047,2.1995,105.536,188.19,54.0009,0.2688,2.5113,14.9418,27.0266,11.3552,21.2899,17.8004,2.5016,21.9471,4.9996,9.1813,2162.22,2161.9968,86,839,,28.3,-4.1381753,60.3443039
12.2074,0.0171,2.1292,104.968,189.449,53.3559,0.2693,2.3834,15.2705,15.6225,8.4061,13.8485,14.2707,1.5769,22.8522,4.6632,9.4366,2162.22,2162.1492,86,839,,28.3,-4.1381753,60.3443039
12.2074,0.0227,2.1376,104.026,191.764,52.9763,0.2696,2.2338,15.4128,12.8316,7.8292,11.5927,10.4919,1.2731,17.4996,4.3898,9.7383,2162.22,2162.3016,86,839,,28.3,-4.1381753,60.3443039
12.2074,0.0169,2.1393,103.008,187.654,55.1994,0.269,2.2247,15.1837,12.0943,7.6506,10.7168,9.4598,1.2192,14.6059,4.2828,9.7392,2162.49,2162.454,87,73,,24.2,-4.1381753,60.3443039
12.2074,0.0108,2.152,101.914,184.351,55.7947,0.2684,2.2461,15.0269,12.1724,7.7702,11.5976,9.7868,1.3109,12.0941,4.2591,9.3274,2162.49,2162.6064,87,73,,24.2,-4.1381753,60.3443039
12.1962,0.0001,2.1552,100.635,181.942,58.9989,0.2643,2.2744,14.4285,15.7996,8.8392,13.698,12.3003,1.6362,11.9653,4.4839,8.7734,2162.9,2162.7588,89,869,4.5,28.3,-4.1381753,60.3443039
12.2149,0,2.2045,99.8474,180.625,57.2986,0.2686,2.3554,12.9601,17.3543,9.3151,15.7086,13.6421,2.3022,13.2348,4.3206,8.2561,2162.9,2162.9112,89,869,4.5,28.3,-4.1381753,60.3443039
12.2074,0.004,2.2613,99.5839,179.726,56.786,0.2704,2.3749,12.0787,14.4844,7.8689,11.9972,11.2177,1.5556,13.4838,4.2857,7.826,2162.9,2163.0636,89,869,4.5,28.3,-4.1381753,60.3443039
12.2,0.0085,2.1909,98.9322,179.001,50.7733,0.2719,2.4138,11.1932,10.5133,6.5887,9.3407,8.8272,1.3418,11.9012,4.0285,7.3596,2163.25,2163.216,90,241,,27,-4.1381753,60.3443039
12.2074,0.0142,2.1771,97.837,178.534,51.4685,0.2735,2.404,9.6775,10.3107,6.6924,9.4154,8.6857,1.3803,8.7959,3.9731,6.3993,2163.25,2163.3684,90,241,,27,-4.1381753,60.3443039
12.2149,0.0165,2.2338,97.1686,179.977,55.8198,0.2677,2.4146,8.5161,9.7219,6.608,9.0281,8.4429,1.6544,7.6949,4.0171,5.6173,2163.49,2163.5208,91,116,,25.3,-4.1381753,60.3443039
12.2187,0.0132,2.275,97.9245,181.273,64.5819,0.2674,2.5333,9.2965,8.3774,6.2207,8.3824,7.8207,2.4038,7.7764,3.6556,4.9071,2163.73,2163.6732,92,646,,29.3,-4.1381753,60.3443039
12.2149,0.0061,2.3207,99.7912,185.02,71.4092,0.2724,2.6255,8.6167,7.0972,5.1677,7.0972,6.8042,3.2455,7.2648,3.4583,4.5002,2163.73,2163.8256,92,646,,29.3,-4.1381753,60.3443039
12.2074,-0.0006,2.3525,101.296,187.764,75.8807,0.2866,2.7517,7.3529,6.2034,4.8794,6.2034,5.7203,3.2958,5.6716,3.4451,4.01,2164.03,2163.978,93,2983,2711,30.3,-4.1381753,60.3443039
12.2,0.0003,2.2961,103.296,190.831,76.4343,0.3063,2.8037,7.28,5.6908,4.3518,5.6908,5.2447,2.3021,5.586,3.1255,4.3019,2164.03,2164.1304,93,2983,2711,30.3,-4.1381753,60.3443039
12.2149,0.004,2.2727,104.203,193.544,81.198,0.3121,2.8637,6.1239,5.1799,4.0619,5.1799,4.8254,1.932,4.7523,3.0683,4.6173,2164.24,2164.2828,94,703,,30,-4.1381753,60.3443039
12.2224,0.0078,2.2462,104.095,197.249,78.8414,0.3131,2.8615,6.0702,4.9126,3.9036,4.9126,4.6327,2.0622,4.5964,2.785,4.9092,2164.47,2164.4352,95,885,,28.1,-4.1381753,60.3443039
12.2299,0.0103,2.2506,103.56,199.22,79.7941,0.3093,2.8557,5.7768,5.4423,4.1837,5.311,5.1714,2.3983,4.6384,3.1255,5.3485,2164.47,2164.5876,95,885,,28.1,-4.1381753,60.3443039
12.2074,-0.0003,2.2873,103.057,199.046,76.3222,0.2983,2.8477,5.3633,5.629,4.2623,5.4159,5.1574,2.4282,4.4298,2.9037,6.0469,2164.74,2164.74,96,126,,26.3,-4.1381753,60.3443039
12.2074,-0.0002,2.2843,102.319,196.533,79.9458,0.2953,2.85,5.1107,5.719,4.4027,5.6919,5.3111,2.4221,4.2832,3.1692,6.9581,2164.74,2164.8924,96,126,,26.3,-4.1381753,60.3443039
12.2224,-0.0003,2.3662,101.273,197.306,83.3735,0.2935,2.8595,5.2024,5.8407,4.4737,5.7081,5.5071,3.9894,4.4114,3.1356,7.5597,2165.25,2165.0448,98,1745,,29.5,-4.1381753,60.3443039
12.2299,0.0002,2.3505,101.162,199.132,83.8813,0.286,2.8753,4.9876,5.2284,4.1164,5.2284,4.7848,3.5387,4.1302,2.9097,7.8398,2165.25,2165.1972,98,1745,,29.5,-4.1381753,60.3443039
12.2149,0.0001,2.3184,101.8,198.496,81.5714,0.2865,2.9087,4.851,5.4218,4.1607,5.4218,5.0323,2.6669,3.9478,3.1399,7.6524,2165.25,2165.3496,98,1745,,29.5,-4.1381753,60.3443039
12.2074,0.0001,2.2604,101.687,197.869,76.714,0.2936,2.9126,4.8907,5.1607,4.2029,5.1607,4.7181,2.5647,3.9685,2.9459,7.348,2165.46,2165.502,99,1245,,29.4,-4.1381753,60.3443039
12.2149,-0.0004,2.325,101.952,197.501,78.0901,0.3067,2.9429,5.0162,5.8888,4.5593,5.6679,5.3627,2.6979,4.0544,3.2794,6.9846,2165.46,2165.6544,99,1245,,29.4,-4.1381753,60.3443039
12.2299,0.0001,2.2974,102.401,197.339,78.8121,0.3128,2.9272,5.0745,6.0515,4.5536,5.8867,5.2876,2.6778,4.0812,3.1762,6.5942,2165.46,2165.8068,99,1245,,29.4,-4.1381753,60.3443039
12.2299,-0.0001,2.3075,103.137,197.214,79.4301,0.3096,2.9099,5.2279,5.6259,4.5002,5.6259,5.2021,2.1789,4.2544,3.185,6.2328,2165.46,2165.9592,99,1245,,29.4,-4.1381753,60.3443039
12.2,-0.0005,2.2678,103.923,196.596,74.5694,0.3009,2.79,5.4634,6.1165,4.5415,5.8935,5.3257,1.8536,4.5324,3.2281,5.8257,2166.57,2166.1116,103,575,,28.4,-4.1381753,60.3443039
12.1925,-0.0005,2.2078,104.264,195.577,70.5467,0.3036,2.7354,5.496,5.5802,4.2677,5.5802,5.075,1.6822,4.5633,3.2854,4.6621,2166.57,2166.264,103,575,,28.4,-4.1381753,60.3443039
12.2,-0.0005,2.2589,103.699,192.337,67.1241,0.3017,2.6715,5.8033,7.8254,5.0758,7.0085,6.5251,2.4987,5.1217,3.5935,4.2553,2166.57,2166.4164,103,575,,28.4,-4.1381753,60.3443039
12.2074,0.0004,2.1846,103.275,190.667,63.2359,0.2875,2.5797,6.215,7.9161,5.2992,7.118,6.6003,2.0315,6.0058,3.4865,3.8485,2166.57,2166.5688,103,575,,28.4,-4.1381753,60.3443039
12.1962,0.0004,2.1384,103.283,198.313,60.5894,0.2802,2.4757,6.4118,7.7486,5.1832,6.9425,6.2784,1.3872,6.6832,3.5566,3.2396,2166.75,2166.7212,104,361,,25.8,-4.1381753,60.3443039
12.2074,0.0024,2.1494,103.353,198.662,60.0429,0.2798,2.4909,6.7114,7.7215,5.1766,7.0246,6.3707,1.4247,7.1504,3.6181,2.5296,2166.98,2166.8736,105,2543,649,30.9,-4.1381753,60.3443039
12.2074,0.0014,2.168,103.58,197.232,63.6048,0.2786,2.5192,6.9011,7.6952,5.3875,6.9156,6.4349,1.5998,7.1811,3.7289,1.9007,2166.98,2167.026,105,2543,649,30.9,-4.1381753,60.3443039
12.1962,0.0002,2.2183,103.345,196.438,68.2382,0.2777,2.6308,6.9928,6.933,5.0973,6.2386,5.9718,1.8275,6.8347,3.4218,1.7161,2167.36,2167.1784,106,886,,28.2,-4.1381753,60.3443039
12.1925,0.0002,2.2061,103.185,196.26,74.1835,0.2756,2.7196,7.0989,6.4072,4.828,5.8547,5.5901,1.7809,6.5044,3.1616,1.6002,2167.36,2167.3308,106,886,,28.2,-4.1381753,60.3443039
12.2,0.0003,2.2334,103.305,196.219,74.6861,0.2767,2.8007,6.62,6.2592,4.8228,5.9507,5.5651,2.085,6.422,3.1093,1.408,2167.36,2167.4832,106,886,,28.2,-4.1381753,60.3443039
12.2187,0.0003,2.2742,103.52,196.894,75.9808,0.2832,2.8206,5.7547,6.9455,5.1966,6.5353,6.2184,2.3343,5.1683,3.255,1.4964,2167.36,2167.6356,106,886,,28.2,-4.1381753,60.3443039
12.185,0.0003,2.2313,102.973,193.305,70.8496,0.2859,2.7609,5.6613,6.9565,4.8318,6.244,5.9935,1.8028,4.8458,3.2893,1.7023,2168.09,2167.788,109,4.1,,20.8,-4.1381753,60.3443039
12.2,0.0002,2.1737,103.474,192.014,70.8525,0.2837,2.73,5.3995,6.0877,4.3658,5.754,5.437,1.8174,4.4177,3.1686,2.3108,2168.09,2167.9404,109,4.1,,20.8,-4.1381753,60.3443039
12.2074,0.0006,2.2422,104.703,196.481,67.4741,0.2831,2.7301,5.0824,5.9276,4.4417,5.6763,5.3875,2.3696,4.0911,3.2733,2.9193,2168.09,2168.0928,109,4.1,,20.8,-4.1381753,60.3443039
12.2149,0.0007,2.2253,105.335,202.693,72.4995,0.2845,2.8,5.01,5.6418,4.3375,5.4682,5.1586,2.1014,3.8335,3.1111,3.2202,2168.09,2168.2452,109,4.1,,20.8,-4.1381753,60.3443039
12.2074,0.0002,2.2845,105.864,205.56,76.0653,0.2854,2.8533,4.8601,5.3495,4.2973,5.1327,4.9126,2.4911,3.7459,3.2132,3.2213,2168.48,2168.3976,111,67,,24.7,-4.1381753,60.3443039
12.2449,0.0011,2.2515,105.285,208.09,82.9371,0.2908,2.9685,4.9388,5.6943,4.5202,5.6423,5.2404,3.2206,3.9491,3.1618,3.3294,2168.48,2168.55,111,67,,24.7,-4.1381753,60.3443039
12.2524,0.0121,2.3144,104.677,211.044,89.5319,0.3117,3.0582,4.8775,5.3727,4.3693,5.2162,5.069,2.5219,3.9105,3.2113,3.4471,2168.72,2168.7024,112,758,,28.2,-4.1381753,60.3443039
12.2524,0.0201,2.3096,105.237,212.972,90.6193,0.3504,3.0577,5.0319,5.3135,4.2996,5.0739,4.9137,1.69,4.0036,3.1399,3.7286,2168.97,2168.8548,113,213,132,24.9,-4.1381753,60.3443039
12.2824,0.0241,2.3382,105.527,214.45,89.9987,0.3577,3.0573,4.8691,5.4687,4.415,5.327,5.1324,2.0456,4.8506,3.1659,3.5053,2168.97,2169.0072,113,213,132,24.9,-4.1381753,60.3443039
