CALI,DENC,DENS,DTC,DTS,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.5702,-0.0184,2.3047,97.0865,179.8425,205.9768,209.4955,66.664,0.3205,3.5181,12.0508,3.0647,9.9203,92.8125,2400.05,2399.9708,2,114,,25.9,-4.0429056,60.4264917
12.1538,-0.0187,2.311,96.2274,184.1107,205.8209,209.8104,71.8434,0.3163,3.535,11.7966,2.292,9.8369,92.1875,2400.05,2400.1232,2,114,,25.9,-4.0429056,60.4264917
12.3588,-0.0226,2.3019,94.5772,183.7783,205.8209,210.4105,65.7161,0.3208,3.3619,12.1943,2.6053,10.0752,92,2400.3,2400.2756,3,44,,25.5,-4.0429056,60.4264917
12.355,-0.0243,2.2738,94.4275,184.1685,205.8209,207.7751,66.079,0.3147,3.1772,13.0323,3.7987,10.4915,93.1875,2400.55,2400.428,4,0.53,,18.8,-4.0429056,60.4264917
12.3574,-0.0275,2.2579,93.4662,185.5259,205.8209,211.6488,61.4407,0.3082,3.0707,13.4711,2.2346,10.4681,93.75,2400.55,2400.5804,4,0.53,,18.8,-4.0429056,60.4264917
12.355,-0.0292,2.2614,94.2214,185.9637,205.8209,209.6305,60.2357,0.3014,3.1747,14.5643,2.0035,11.1086,92.3125,2400.75,2400.7328,5,164,53,27,-4.0429056,60.4264917
12.3574,-0.0303,2.2897,75.3481,183.5094,205.8209,208.806,56.399,0.2692,3.3267,15.4849,2.2897,11.7309,91.875,2400.75,2400.8852,5,164,53,27,-4.0429056,60.4264917
12.3595,-0.0273,2.3586,74.8492,183.8537,205.8209,213.4714,54.2197,0.1955,3.5544,18.0567,2.7909,13.1396,92.375,2401.05,2401.0376,6,181,,26.4,-4.0429056,60.4264917
12.6094,-0.0252,2.4615,74.8123,186.8084,205.5174,210.2377,53.2753,0.1124,3.6556,30.8986,56.8793,20.2211,93,2401.3,2401.19,7,181,,25.6,-4.0429056,60.4264917
12.2786,-0.0143,2.5786,95.4176,190.5925,205.8209,209.312,47.5956,0.0609,3.5434,67.8853,103.2811,39.2701,92.1875,2401.3,2401.3424,7,181,,25.6,-4.0429056,60.4264917
12.489,-0.0119,2.636,88.84,190.4664,205.5174,210.8303,49.5996,0.0591,3.6542,205.4349,131.3284,119.2893,91.625,2401.5,2401.4948,8,0.03,,5.8,-4.0429056,60.4264917
12.4931,-0.0149,2.6419,62.9337,141.6157,205.5174,206.6488,49.2484,0.0641,3.729,301.3113,84.4221,184.0867,91.25,2401.5,2401.6472,8,0.03,,5.8,-4.0429056,60.4264917
12.705,-0.0147,2.6585,63.5952,159.4349,205.2139,206.5078,49.3882,0.0605,3.6834,295.9049,172.8607,182.012,91.875,2401.8500000000004,2401.7996,9,0.03,0.19,3.9,-4.0429056,60.4264917
12.4883,-0.013,2.6645,62.1218,169.8147,205.5174,205.9667,50.5749,0.0512,3.5574,312.2196,188.5477,187.1231,92.25,2402.05,2401.952,10,< .01,,3.2,-4.0429056,60.4264917
12.2887,-0.0136,2.667,57.097,171.4249,205.8209,208.2011,47.5656,0.0423,3.5753,591.6873,208.4109,314.5665,91.5625,2402.05,2402.1044,10,< .01,,3.2,-4.0429056,60.4264917
12.4875,-0.0139,2.6581,64.4719,153.9271,204.4947,202.1651,46.9534,0.0477,3.7027,665.7972,168.8971,316.7319,91.125,2402.3,2402.2568,11,0.03,,2.3,-4.0429056,60.4264917
12.4691,-0.0138,2.579,59.5372,,204.4947,205.2586,45.5444,0.0694,3.7141,508.6678,150.7031,230.1566,92.375,2402.3,2402.4092,11,0.03,,2.3,-4.0429056,60.4264917
12.4559,-0.0176,2.4765,57.7237,,203.825,209.8285,48.5002,0.1204,3.4685,139.0524,9.4458,69.4897,92,2402.55,2402.5616,12,0.03,,3,-4.0429056,60.4264917
12.4286,-0.022,2.3651,57.9254,,203.0528,211.1044,50.1657,0.1963,3.2651,75.3089,4.6288,41.1028,91.9375,2402.75,2402.714,13,0.02,0.02,3.5,-4.0429056,60.4264917
12.394,-0.0232,2.3098,57.574,,203.0528,214.8535,51.679,0.2532,2.9938,62.4253,1.9424,34.6841,91.5625,2402.75,2402.8664,13,0.02,0.02,3.5,-4.0429056,60.4264917
12.5941,-0.0182,2.2773,81.1395,178.3314,203.0528,212.0219,55.7222,0.2754,2.9945,54.232,1.9943,30.5427,91.25,2403.1000000000004,2403.0188,14,264,,25.6,-4.0429056,60.4264917
12.1878,-0.0201,2.2707,88.1559,174.9583,203.3635,209.0071,55.1605,0.2833,2.8945,46.1308,1.7693,26.8638,91.375,2403.1000000000004,2403.1712,14,264,,25.6,-4.0429056,60.4264917
12.3833,-0.0214,2.2607,88.4489,181.699,203.0528,208.9525,55.4862,0.2941,2.8338,40.3137,1.7264,24.0359,91.375,2403.3,2403.3236,15,136,,24.5,-4.0429056,60.4264917
12.3912,-0.0218,2.2654,90.416,181.9583,203.0528,207.0077,56.2259,0.3084,2.7545,36.9718,1.7832,22.2182,91.5625,2403.55,2403.476,16,258,,25.1,-4.0429056,60.4264917
12.3836,-0.0226,2.2619,92.5831,182.408,203.0528,206.8098,55.9542,0.3051,2.8136,26.7592,1.7618,16.6995,91.5625,2403.55,2403.6284,16,258,,25.1,-4.0429056,60.4264917
12.3844,-0.0252,2.2647,92.963,183.6664,203.0528,212.679,55.9472,0.3016,2.9583,20.0413,1.6908,13.5126,90.875,2403.8500000000004,2403.7808,17,267,150,25.8,-4.0429056,60.4264917
12.6088,-0.0245,2.2646,90.549,176.6794,203.0528,211.3427,55.9177,0.3052,3.0818,19.8316,1.6743,13.6052,91.5625,2403.8500000000004,2403.9332,17,267,150,25.8,-4.0429056,60.4264917
12.1641,-0.0239,2.2613,92.4257,181.8017,203.3635,210.7418,58.0741,0.3032,3.1407,21.0554,2.3378,14.3395,91.5625,2404.05,2404.0856,18,99,,24.7,-4.0429056,60.4264917
12.3322,-0.0266,2.2567,92.2037,181.0009,203.3635,213.912,58.4794,0.3019,3.0788,25.0714,2.2263,15.0102,92,2404.3,2404.238,19,259,,25.7,-4.0429056,60.4264917
12.3381,-0.0256,2.2551,93.1539,176.4725,203.3635,208.6086,55.293,0.2943,2.9402,25.8683,1.7356,13.9455,91,2404.3,2404.3904,19,259,,25.7,-4.0429056,60.4264917
12.3373,-0.0246,2.2521,94.1883,175.1249,203.3635,207.5658,56.0733,0.2996,2.7965,23.7704,1.5413,12.9782,90.6875,2404.55,2404.5428,20,286,,25.7,-4.0429056,60.4264917
12.3632,-0.0246,2.2536,94.267,173.7731,203.3635,210.6061,54.6207,0.3047,2.7753,19.97,1.5381,11.3946,92.4375,2404.75,2404.6952,21,174,122,25.1,-4.0429056,60.4264917
12.3631,-0.0243,2.2631,96.6112,172.6748,203.3635,210.4427,59.7403,0.2997,2.9395,15.3096,1.557,9.6389,92.0625,2404.75,2404.8476,21,174,122,25.1,-4.0429056,60.4264917
12.4007,-0.0211,2.282,97.7,174.2555,203.0528,211.914,57.4549,0.3036,3.0723,14.2343,3.1377,9.2413,90.4375,2405.1000000000004,2405,22,218,,26.9,-4.0429056,60.4264917
12.4087,-0.0172,2.2917,96.0611,179.5127,203.0528,214.7533,62.4516,0.2993,3.1058,14.1449,2.6199,9.3529,90.3125,2405.1000000000004,2405.1524,22,218,,26.9,-4.0429056,60.4264917
12.4133,-0.0176,2.2967,96.3911,177.4995,203.0528,207.6412,66.8026,0.3064,3.1039,14.7516,2.4248,9.8673,92.0625,2405.3300000000004,2405.3048,23,11,,23.6,-4.0429056,60.4264917
12.4065,-0.019,2.3082,95.5125,177.3471,203.0528,211.3516,68.1608,0.3261,3.2405,14.8925,3.0844,10.1137,92.5625,2405.5,2405.4572,24,48,,25,-4.0429056,60.4264917
12.3749,-0.0186,2.3184,95.689,177.2558,203.3635,211.4989,74.2138,0.3342,3.2613,14.1188,3.6009,9.4876,90.9375,2405.5,2405.6096,24,48,,25,-4.0429056,60.4264917
12.3602,-0.0186,2.3093,96.3566,177.2031,203.3635,207.2828,74.8828,0.3411,3.2299,13.7283,1.7596,9.117,91.3125,2405.8300000000004,2405.762,25,17,,24.7,-4.0429056,60.4264917
12.3631,-0.023,2.2799,96.8078,177.2995,203.3635,208.7049,65.6788,0.3054,3.1644,14.1099,1.7338,9.2492,92.375,2405.8300000000004,2405.9144,25,17,,24.7,-4.0429056,60.4264917
12.3602,-0.0256,2.2684,96.8192,176.8239,203.3635,209.8231,64.8911,0.3115,3.2856,14.1609,1.7629,9.0609,93.0625,2406.07,2406.0668,26,10,,23.6,-4.0429056,60.4264917
12.5702,-0.0226,2.2716,96.835,177.982,203.0528,206.6133,65.9506,0.318,3.2412,13.6888,1.9151,8.4555,92,2406.3,2406.2192,27,79,,24.2,-4.0429056,60.4264917
12.1525,-0.0207,2.2692,97.2247,179.9165,203.3635,210.4731,66.271,0.3452,3.2081,14.6148,1.5907,8.9779,91.375,2406.3,2406.3716,27,79,,24.2,-4.0429056,60.4264917
12.3005,-0.0232,2.2686,97.3401,179.3804,203.3635,209.9546,59.4157,0.343,3.1136,15.2442,1.7403,9.385,92.375,2406.55,2406.524,28,115,,25.6,-4.0429056,60.4264917
12.2975,-0.0239,2.2714,96.9939,178.604,203.3635,206.5645,62.047,0.34,3.1066,16.8515,1.8021,10.1937,93.4375,2406.75,2406.6764,29,143,134,26.3,-4.0429056,60.4264917
12.2939,-0.0203,2.2821,96.5828,178.6097,203.3635,206.8365,63.3686,0.3252,3.0439,20.0282,2.2793,11.5766,92.1875,2406.75,2406.8288,29,143,134,26.3,-4.0429056,60.4264917
12.2828,-0.0234,2.268,95.9606,181.114,203.3635,211.7942,61.0099,0.32,3.0228,21.0791,1.9057,11.9784,91.0625,2407.1000000000004,2406.9812,30,106,,26.2,-4.0429056,60.4264917
12.2821,-0.0268,2.2593,95.984,180.1766,203.3635,212.7185,60.0685,0.3164,2.9919,23.5247,1.7497,12.8295,92.8125,2407.1000000000004,2407.1336,30,106,,26.2,-4.0429056,60.4264917
12.4917,-0.0226,2.2621,95.8592,179.2905,203.0528,212.3185,57.6211,0.3142,3.0237,22.0612,1.7696,11.8656,92.6875,2407.3,2407.286,31,141,,26.2,-4.0429056,60.4264917
12.087,-0.0225,2.2601,94.8402,183.6074,203.6742,216.6559,56.0329,0.3166,3.0011,21.0386,1.6038,11.3687,92.5625,2407.55,2407.4384,32,101,,25.5,-4.0429056,60.4264917
12.2894,-0.0235,2.2525,95.3588,183.6265,203.3635,212.0993,60.7787,0.3113,3.0014,19.4462,1.664,10.6271,91.9375,2407.55,2407.5908,32,101,,25.5,-4.0429056,60.4264917
12.4967,-0.0202,2.2551,95.5922,183.4997,203.0528,211.9626,57.3805,0.3298,3.0392,18.7363,1.7692,10.6089,92.3125,2407.8300000000004,2407.7432,33,150,103,26.5,-4.0429056,60.4264917
12.0877,-0.019,2.2577,95.8128,179.2694,203.6742,212.3583,61.2341,0.3257,3.1381,17.4556,1.8712,10.1542,92.8125,2407.8300000000004,2407.8956,33,150,103,26.5,-4.0429056,60.4264917
12.2902,-0.0206,2.2615,94.8845,179.2632,203.3635,208.8682,61.7266,0.3214,3.1725,16.6975,1.8139,10.026,92.25,2408.05,2408.048,34,100,,25.9,-4.0429056,60.4264917
12.2909,-0.0208,2.2649,96.4429,180.2321,203.3635,208.1122,58.466,0.3016,3.2127,16.1708,2.0566,10.1402,92.125,2408.3,2408.2004,35,158,,26.9,-4.0429056,60.4264917
12.2989,-0.022,2.2708,93.224,171.9011,203.3635,215.2889,61.9033,0.2948,3.1618,14.5512,2.1517,9.7706,91.625,2408.3,2408.3528,35,158,,26.9,-4.0429056,60.4264917
12.2924,-0.0238,2.2754,94.7733,172.1376,203.3635,212.6517,61.7839,0.299,3.2491,14.3826,2.1462,9.7799,91.3125,2408.55,2408.5052,36,43,,24.3,-4.0429056,60.4264917
12.2998,-0.0243,2.287,97.5754,172.3125,203.3635,208.2648,74.3849,0.3134,3.3092,14.4417,2.1428,10.0164,92,2408.55,2408.6576,36,43,,24.3,-4.0429056,60.4264917
12.2931,-0.0218,2.2927,97.9215,174.3541,203.3635,215.8797,76.6959,0.3304,3.1883,13.435,2.5742,9.3625,92.125,2408.8300000000004,2408.81,37,49,24,25.3,-4.0429056,60.4264917
12.305,-0.0229,2.2757,98.3402,175.3715,203.3635,208.4172,71.5302,0.342,3.1443,13.3374,2.0249,9.1386,91.8125,2408.8300000000004,2408.9624,37,49,24,25.3,-4.0429056,60.4264917
12.3145,-0.0215,2.2606,98.4306,179.0523,203.3635,208.4172,66.724,0.3444,3.1137,14.1912,2.5618,9.5514,92.0625,2409.1000000000004,2409.1148,38,27,,26,-4.0429056,60.4264917
12.3433,-0.0206,2.2442,98.3135,179.3815,203.3635,215.0812,65.0692,0.3517,3.2304,14.5385,2.7334,9.3399,92.375,2409.3,2409.2672,39,450,,28.1,-4.0429056,60.4264917
12.3373,-0.0184,2.2471,99.8926,179.9839,203.3635,215.1306,63.415,0.3543,3.3452,13.8088,1.3603,8.8762,92.6875,2409.3,2409.4196,39,450,,28.1,-4.0429056,60.4264917
12.3381,-0.0175,2.2505,98.1151,179.7602,203.3635,212.0132,61.7617,0.369,3.4642,13.1882,1.6535,8.981,92.0625,2409.55,2409.572,40,657,,28.2,-4.0429056,60.4264917
12.5516,-0.0161,2.2749,96.7368,180.44,203.0528,214.8994,65.7018,0.3764,3.6071,12.5991,3.0783,9.5923,91.375,2409.8300000000004,2409.7244,41,1.1,35,21.2,-4.0429056,60.4264917
12.3374,-0.0137,2.2982,96.1944,180.378,203.3635,208.9084,74.4812,0.3804,3.5903,12.0927,2.566,9.4269,91.875,2409.8300000000004,2409.8768,41,1.1,35,21.2,-4.0429056,60.4264917
12.1255,-0.0149,2.3156,95.4605,180.9074,203.3635,209.2649,69.6442,0.3665,3.3375,11.9563,2.6051,9.4103,92.875,2410.15,2410.0292,42,6.8,,18.4,-4.0429056,60.4264917
12.3072,-0.0169,2.299,94.389,182.4754,203.3635,212.8978,68.9138,0.3431,3.1865,12.7666,1.85,9.8367,93.1875,2410.15,2410.1816,42,6.8,,18.4,-4.0429056,60.4264917
12.2968,-0.0203,2.2865,93.5239,182.7401,203.3635,208.8178,63.9689,0.3243,3.1393,13.2404,1.6541,9.953,92.0625,2410.3500000000004,2410.334,43,323,,27.5,-4.0429056,60.4264917
12.2945,-0.0219,2.2712,93.1333,179.9833,203.3635,211.7153,61.2008,0.3266,3.2129,13.5247,2.8839,10.1224,92.625,2410.6000000000004,2410.4864,44,36,,23.2,-4.0429056,60.4264917
12.2939,-0.0232,2.2777,96.1104,179.841,203.3635,212.7065,59.7131,0.3246,3.1308,14.3888,3.3996,10.6212,93.625,2410.6000000000004,2410.6388,44,36,,23.2,-4.0429056,60.4264917
12.291,-0.0232,2.28,95.3589,181.6814,203.3635,209.3922,60.2626,0.3284,3.0062,27.5293,2.2768,17.1547,93.125,2410.8300000000004,2410.7912,45,201,87,26.1,-4.0429056,60.4264917
12.2814,-0.0228,2.2681,94.6215,178.3801,203.3635,208.7864,55.9845,0.3162,2.9687,50.874,2.2914,29.913,92.5,2411.05,2410.9436,46,263,,25.9,-4.0429056,60.4264917
12.2866,-0.0252,2.2532,94.2596,180.3657,203.3635,211.8159,53.8872,0.3192,3.035,54.8822,1.7423,31.6068,92.8125,2411.05,2411.096,46,263,,25.9,-4.0429056,60.4264917
12.4912,-0.0254,2.2383,93.3402,180.6139,203.0528,208.3802,54.9385,0.3157,3.0895,64.4353,1.6899,35.2076,93.3125,2411.3,2411.2484,47,243,,26.4,-4.0429056,60.4264917
12.0866,-0.0265,2.232,92.1528,180.0126,203.6742,209.2811,53.8059,0.3142,3.007,54.2787,1.6174,29.3693,94.0625,2411.5,2411.4008,48,235,,26.4,-4.0429056,60.4264917
12.2836,-0.0256,2.227,91.5402,179.7964,203.3635,212.3637,54.7778,0.3141,2.9294,29.7669,1.534,18.4441,92.375,2411.5,2411.5532,48,235,,26.4,-4.0429056,60.4264917
12.2808,-0.0286,2.2255,91.3145,179.1827,203.3635,210.2923,55.493,0.3226,2.8699,23.8296,1.4883,15.4845,92,2411.8300000000004,2411.7056,49,248,168,26.1,-4.0429056,60.4264917
12.2837,-0.0276,2.2293,90.7356,179.1306,203.3635,209.5971,53.0506,0.332,2.913,19.543,1.468,13.2231,93,2411.8300000000004,2411.858,49,248,168,26.1,-4.0429056,60.4264917
12.2828,-0.0282,2.2362,91.3332,179.2586,203.3635,209.1829,56.8027,0.3313,2.9158,18.1716,1.4675,12.504,93.3125,2412.05,2412.0104,50,288,,26.3,-4.0429056,60.4264917
12.2858,-0.0272,2.2455,91.9085,179.247,203.3635,206.0688,57.3036,0.315,2.8776,19.2036,2.288,13.0541,92.375,2412.05,2412.1628,50,288,,26.3,-4.0429056,60.4264917
12.2851,-0.0272,2.2551,91.4582,178.4144,203.3635,206.443,56.7886,0.3167,2.886,22.7915,2.065,15.1044,92,2412.3,2412.3152,51,173,,25,-4.0429056,60.4264917
12.288,-0.0276,2.2683,93.1712,171.2864,203.3635,209.2072,57.6886,0.3126,2.9657,27.9864,1.9952,18.1887,92.8125,2412.55,2412.4676,52,219,,26.2,-4.0429056,60.4264917
12.2865,-0.0269,2.274,92.4806,171.2498,203.3635,209.2256,56.9266,0.3242,2.9517,31.3835,2.0454,20.1276,93.8125,2412.55,2412.62,52,219,,26.2,-4.0429056,60.4264917
12.2895,-0.0284,2.2749,92.5408,171.2284,203.3635,209.2256,54.9506,0.3189,2.9146,34.6381,1.6326,21.5993,92.4375,2412.9,2412.7724,53,202,182,25.1,-4.0429056,60.4264917
12.2909,-0.0283,2.2561,92.0245,170.5689,203.3635,212.8087,53.4794,0.3131,2.8235,51.1744,1.3304,28.1746,91.9375,2412.9,2412.9248,53,202,182,25.1,-4.0429056,60.4264917
12.4923,-0.0284,2.2435,91.2366,171.1389,203.0528,207.6184,53.5599,0.3148,2.8079,55.101,1.354,29.9888,92.875,2413.05,2413.0772,54,264,,25.8,-4.0429056,60.4264917
12.2895,-0.0252,2.24,90.9838,173.5005,203.3635,207.925,51.367,0.3185,2.8073,50.7294,1.3983,27.7107,94,2413.3,2413.2296,55,273,,26.4,-4.0429056,60.4264917
12.0909,-0.0236,2.2483,90.7584,175.0349,203.6742,208.2316,53.4198,0.3243,2.8683,48.3162,1.6915,26.2745,93.125,2413.3,2413.382,55,273,,26.4,-4.0429056,60.4264917
12.2895,-0.0226,2.2576,90.8008,174.1014,203.3635,212.6268,55.6877,0.3234,2.8728,41.8636,1.8223,22.7645,91.6875,2413.5,2413.5344,56,152,,25.1,-4.0429056,60.4264917
12.288,-0.0249,2.2556,91.3858,172.7599,203.3635,212.2145,55.6473,0.3181,2.8762,38.4259,1.6463,21.1197,93.25,2413.5,2413.6868,56,152,,25.1,-4.0429056,60.4264917
12.5025,-0.0227,2.2548,90.7692,173.3912,203.0528,211.9132,56.9021,0.3203,2.8752,38.4617,1.6086,21.3055,94.375,2413.9,2413.8392,57,144,46,25.7,-4.0429056,60.4264917
12.0934,-0.0253,2.2541,91.1849,178.8293,203.6742,208.5354,55.8565,0.3191,2.9018,39.0558,1.6078,21.8642,92.75,2414.05,2413.9916,58,182,,25.5,-4.0429056,60.4264917
12.5094,-0.0262,2.2524,90.8632,177.9069,203.0528,207.9213,54.7883,0.3098,2.9561,44.0589,1.7154,24.121,92.3125,2414.05,2414.144,58,182,,25.5,-4.0429056,60.4264917
12.0945,-0.0266,2.2562,90.3752,177.3654,203.6742,208.6684,54.8735,0.3171,3.0027,48.34,1.7242,25.7413,93.625,2414.3,2414.2964,59,188,,25.2,-4.0429056,60.4264917
12.2998,-0.0271,2.2477,90.0348,177.4845,203.3635,208.4325,53.5052,0.3216,2.9796,52.7948,1.7187,26.7412,93.5625,2414.55,2414.4488,60,180,,25.2,-4.0429056,60.4264917
12.3057,-0.0271,2.2436,89.7989,177.7975,203.3635,212.3884,55.2409,0.323,2.8975,58.2217,1.7157,26.1509,93.9375,2414.55,2414.6012,60,180,,25.2,-4.0429056,60.4264917
12.507,-0.0238,2.2522,90.1381,178.3828,203.0528,212.2589,55.7638,0.3179,2.8371,55.178,1.6972,23.9074,92.6875,2414.7000000000003,2414.7536,61,198,132,25.1,-4.0429056,60.4264917
12.1042,-0.0205,2.2574,89.4972,177.5226,203.6742,209.5204,53.5029,0.3175,2.874,47.7139,1.6167,22.2199,93,2415.05,2414.906,62,287,,25.5,-4.0429056,60.4264917
12.302,-0.0175,2.2649,91.6669,180.4402,203.3635,208.9165,53.4679,0.3443,2.9776,44.1781,1.5789,21.3322,94,2415.05,2415.0584,62,287,,25.5,-4.0429056,60.4264917
12.302,-0.0187,2.2548,92.1765,180.2194,203.3635,217.169,53.9814,0.3579,3.0117,29.902,1.5755,15.7744,93.9375,2415.3,2415.2108,63,262,,25.9,-4.0429056,60.4264917
12.5092,-0.022,2.249,90.9218,179.2769,203.0528,212.4825,55.5899,0.3502,3.0375,23.8153,1.6504,13.0641,92.8125,2415.3,2415.3632,63,262,,25.9,-4.0429056,60.4264917
12.3027,-0.0218,2.2768,89.7175,177.4824,203.3635,212.7615,52.3697,0.3204,2.9801,22.8666,1.7123,12.6446,92.875,2415.5,2415.5156,64,211,,24.4,-4.0429056,60.4264917
12.0995,-0.0231,2.3488,89.3175,176.6399,203.6742,212.7143,54.5922,0.2719,3.1401,20.5244,5.3838,12.0598,94.0625,2415.75,2415.668,65,228,162,24.9,-4.0429056,60.4264917
12.3035,-0.0194,2.4498,88.151,172.5429,203.3635,209.5152,53.0722,0.212,3.4892,23.498,265.7285,14.153,95,2415.75,2415.8204,65,228,162,24.9,-4.0429056,60.4264917
12.3018,-0.0132,2.5453,88.8099,171.267,203.3635,212.074,51.8968,0.1661,3.3086,24.6789,277.082,14.7957,92.8125,2416.05,2415.9728,66,<.01,,2.3,-4.0429056,60.4264917
12.5108,-0.016,2.5017,86.8193,170.515,203.0528,211.6119,53.0717,0.1922,3.0732,37.0305,4.1979,20.4419,93.0625,2416.05,2416.1252,66,<.01,,2.3,-4.0429056,60.4264917
12.2902,-0.0273,2.3799,83.3888,171.9812,203.3635,209.5551,52.9567,0.2642,2.874,65.3579,1.5818,33.415,94.1875,2416.3,2416.2776,67,442,,26.9,-4.0429056,60.4264917
12.0818,-0.0307,2.2677,82.259,163.1118,203.6742,209.5642,53.4132,0.3239,2.9036,60.4748,1.5623,30.7706,93.9375,2416.55,2416.43,68,323,,26.9,-4.0429056,60.4264917
12.4912,-0.027,2.2288,81.6734,160.0361,203.0528,212.2493,52.6991,0.3433,2.8886,50.0551,1.5664,25.7427,92.75,2416.55,2416.5824,68,323,,26.9,-4.0429056,60.4264917
