CALI,DENC,DENS,DTC,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.1131,-0.0012,2.2613,97.2366,161.7404,170.3051,46.5964,0.2451,2.7147,57.5218,2.5172,39.9467,-29.75,2148.82,2148.8156,100,500,,25.1,-4.2432231,60.3731917
12.1169,0.0008,2.2766,95.3378,157.9855,165.093,50.0731,0.2443,2.7587,78.9994,2.6275,47.762,-32.3125,2149.05,2148.968,101,561,,25.8,-4.2432231,60.3731917
12.1131,0.0019,2.2935,91.561,155.7172,166.8659,50.2225,0.2334,2.8108,73.1647,2.9975,43.6198,-32.8125,2149.05,2149.1204,101,561,,25.8,-4.2432231,60.3731917
12.1158,0.0013,2.3162,92.3363,155.0555,172.6932,50.4039,0.2193,3.0011,65.6265,2.9429,38.4739,-29.375,2149.3,2149.2728,102,345,,23.5,-4.2432231,60.3731917
12.1131,0.0041,2.3343,90.9464,152.8116,161.9574,52.569,0.2167,3.0805,64.9156,2.8355,35.3198,-31.4375,2149.55,2149.4252,103,339,0.14,22.3,-4.2432231,60.3731917
12.1169,0.0022,2.3371,89.4896,151.1993,155.0234,56.5484,0.2235,3.0538,64.7016,3.1781,33.1392,-33.875,2149.55,2149.5776,103,339,0.14,22.3,-4.2432231,60.3731917
12.1216,-0.003,2.3244,87.4435,151.9795,156.8968,59.8014,0.2201,3.1087,59.1644,4.193,29.3764,-31.625,2149.84,2149.73,104,7.5,,19.3,-4.2432231,60.3731917
12.1278,0.0026,2.3384,87.7649,153.0708,154.3757,60.4761,0.2098,3.2168,50.2409,4.4229,24.9217,-33.1875,2149.84,2149.8824,104,7.5,,19.3,-4.2432231,60.3731917
12.1602,0.006,2.3663,87.5372,155.3375,155.2898,67.2814,0.2416,3.4674,35.4754,4.5244,19.5744,-36.4375,2150.05,2150.0348,105,292,,22.9,-4.2432231,60.3731917
12.4492,0.005,2.4055,88.2039,158.207,156.2496,79.1961,0.3042,3.4884,25.2248,4.2464,15.3998,-36.0625,2150.05,2150.1872,105,292,,22.9,-4.2432231,60.3731917
12.5159,0.0041,2.4271,89.9583,163.6379,160.3633,88.6225,0.3619,3.6708,21.8846,4.0689,13.852,-37.4375,2150.05,2150.3396,105,292,,22.9,-4.2432231,60.3731917
12.5157,0.0054,2.4416,93.7128,169.9562,168.0406,94.3409,0.3607,3.7199,12.8421,4.1665,9.0548,-38.1875,2150.05,2150.492,105,292,,22.9,-4.2432231,60.3731917
12.5017,0.0035,2.4175,100.5208,213.3212,209.8602,92.9905,0.3334,3.4134,3.985,4.005,3.0186,-41.375,2156.04,2155.6736,129,2.1,,17.8,-4.2432231,60.3731917
12.4804,0.0014,2.4121,100.4896,214.57,209.7759,91.0178,0.3484,3.3979,3.6519,3.8113,3.1026,-37.8125,2156.04,2155.826,129,2.1,,17.8,-4.2432231,60.3731917
12.449,0.0052,2.4156,100.8199,215.6169,210.1024,84.7491,0.3255,3.4872,3.6918,3.8805,3.0088,-38,2156.04,2155.9784,129,2.1,,17.8,-4.2432231,60.3731917
12.2932,0.0087,2.4415,101.9524,213.2056,209.941,77.9347,0.2795,3.6264,3.7183,3.9073,3.0954,-38,2156.04,2156.1308,129,2.1,,17.8,-4.2432231,60.3731917
12.2649,0.0111,2.4747,101.3393,208.3704,205.5704,73.604,0.2433,3.7724,3.6781,3.8018,3.163,-37.75,2156.3,2156.2832,130,0.45,,8.5,-4.2432231,60.3731917
12.2818,0.0148,2.4985,98.7738,202.3424,201.0788,74.9936,0.2532,3.5673,3.6369,3.6507,3.1808,-36.4375,2156.3,2156.4356,130,0.45,,8.5,-4.2432231,60.3731917
12.3095,0.0137,2.4807,94.9464,192.5412,190.6089,82.5103,0.2933,3.4181,3.8834,5.1277,3.5517,-37.0625,2156.3,2156.588,130,0.45,,8.5,-4.2432231,60.3731917
12.4616,0.0078,2.4454,91.8586,183.7767,176.622,86.4134,0.3067,3.403,4.494,10.7481,4.1242,-38.125,2156.3,2156.7404,130,0.45,,8.5,-4.2432231,60.3731917
12.4467,0.013,2.439,77.4033,136.2859,131.971,85.5448,0.2854,3.5616,22.5391,5.4545,18.2592,-35.75,2160.24,2159.7884,146,0.36,,11.2,-4.2432231,60.3731917
12.4853,0.0106,2.4292,80.1979,137.2611,138.6829,93.251,0.3245,3.6136,20.6155,10.9088,15.5345,-36.5,2160.24,2159.9408,146,0.36,,11.2,-4.2432231,60.3731917
12.4893,0.0081,2.4465,84.7679,143.9656,151.7018,94.2969,0.3141,3.5671,10.8356,10.9979,8.7619,-37.125,2160.24,2160.0932,146,0.36,,11.2,-4.2432231,60.3731917
12.483,0.0041,2.4532,89.561,157.9185,164.8428,91.0609,0.3034,3.5535,8.4439,4.4411,6.1804,-37.3125,2160.24,2160.2456,146,0.36,,11.2,-4.2432231,60.3731917
12.5525,0.0031,2.45,93.8304,172.7884,175.8799,89.3554,0.2926,3.5891,5.4367,4.1783,4.7808,-35.8125,2160.5,2160.398,140,0.19,,8,-4.2432231,60.3731917
12.4724,-0.0024,2.4365,97.6265,185.0676,189.3787,89.813,0.3008,3.6154,4.3125,4.7636,4.063,-37.5,2160.5,2160.5504,140,0.19,,8,-4.2432231,60.3731917
12.4559,-0.0011,2.4357,100.4182,194.2612,198.8382,91.5193,0.3046,3.7392,4.222,5.7239,3.8929,-37.625,2160.7000000000003,2160.7028,141,390,,23.1,-4.2432231,60.3731917
12.4471,-0.0029,2.4409,100.3051,197.3279,199.9587,89.9792,0.305,3.716,3.926,5.5692,3.9058,-31.25,2160.9500000000003,2160.8552,142,125,166,19,-4.2432231,60.3731917
12.4439,0.0018,2.4227,99.4315,197.269,195.8267,88.7371,0.3045,3.6807,4.1487,5.1908,3.9952,-38.3125,2160.9500000000003,2161.0076,142,125,166,19,-4.2432231,60.3731917
12.4374,0.0022,2.4036,98.7961,197.3069,189.5284,89.9849,0.3327,3.7546,4.2162,4.9163,4.0152,-37.9375,2161.1,2161.16,149,1,,14.6,-4.2432231,60.3731917
12.4639,0.0037,2.3855,98.7366,197.9626,191.2568,96.8632,0.3668,3.956,4.0573,4.5487,4.0738,-35.5,2161.1,2161.3124,149,1,,14.6,-4.2432231,60.3731917
12.5848,0.0045,2.4061,99.7887,201.3771,193.583,100.7201,0.3957,3.9302,4.4468,4.3954,4.1879,-35.375,2161.75,2161.4648,151,0.37,,11.1,-4.2432231,60.3731917
12.6689,0.0093,2.4321,100.1771,207.6333,197.2917,96.9933,0.3666,3.585,4.2241,3.2002,4.0168,-38.0625,2161.75,2161.6172,151,0.37,,11.1,-4.2432231,60.3731917
12.4955,0.0048,2.4507,102.4226,215.1771,214.616,90.4562,0.3322,3.4642,3.4746,1.5026,3.2257,-40.0625,2161.75,2161.7696,151,0.37,,11.1,-4.2432231,60.3731917
12.5127,0.001,2.4538,101.8438,218.2341,221.724,85.2634,0.3051,3.4834,3.2256,2.6624,3.0255,-34.6875,2161.75,2161.922,151,0.37,,11.1,-4.2432231,60.3731917
12.5278,-0.0016,2.4526,101.7574,216.1239,221.3552,86.0214,0.2969,3.7657,3.1436,3.5438,3.0022,-36.125,2161.75,2162.0744,151,0.37,,11.1,-4.2432231,60.3731917
12.5369,-0.0026,2.4516,102.2321,208.0291,219.3928,90.172,0.2998,3.6507,3.3741,6.2351,3.0961,-38.625,2161.75,2162.2268,151,0.37,,11.1,-4.2432231,60.3731917
12.5438,-0.0056,2.4504,99.0565,195.5111,195.9792,94.7183,0.3162,3.242,4.4683,5.2496,3.933,-32.625,2162.92,2162.5316,156,2.2,,16.2,-4.2432231,60.3731917
12.5509,-0.0054,2.4533,98.7902,192.3875,192.6388,92.2367,0.3167,3.2766,4.3123,5.5525,4.1391,-34.9375,2162.92,2162.684,156,2.2,,16.2,-4.2432231,60.3731917
12.5765,-0.0017,2.4609,99.253,193.3726,193.8215,88.0835,0.2972,3.372,4.0744,5.5442,3.7628,-37.0625,2162.92,2162.8364,156,2.2,,16.2,-4.2432231,60.3731917
12.573,0.0006,2.4628,99.253,194.4009,195.2299,85.3376,0.2742,3.3282,4.2334,5.3735,3.6948,-35.9375,2162.92,2162.9888,156,2.2,,16.2,-4.2432231,60.3731917
12.5753,0.0008,2.4617,99.9464,194.1217,194.8682,84.9161,0.2592,3.325,4.1648,5.8469,3.6312,-31.375,2162.92,2163.1412,156,2.2,,16.2,-4.2432231,60.3731917
12.5737,0.0029,2.4622,94.6815,192.5684,194.4051,87.7435,0.2642,3.3169,4.2011,6.4757,3.8193,-34.5,2162.92,2163.2936,156,2.2,,16.2,-4.2432231,60.3731917
12.4831,-0.0055,2.4507,97.8095,183.7946,192.6348,95.2095,0.3175,3.5486,4.6903,5.6542,4.2903,-29.75,2164.6,2164.208,163,0.36,,13.6,-4.2432231,60.3731917
12.4842,-0.0019,2.4522,97.6116,183.9292,194.4848,91.9426,0.3234,3.4924,4.5948,5.0401,4.2857,-27.8125,2164.6,2164.3604,163,0.36,,13.6,-4.2432231,60.3731917
12.4736,0.0025,2.4451,97.4226,185.2663,195.0746,88.2199,0.3148,3.3056,4.9634,4.9138,4.1096,-30.6875,2164.6,2164.5128,163,0.36,,13.6,-4.2432231,60.3731917
12.4141,0.0055,2.4439,96.7411,185.9637,191.919,82.1998,0.2882,3.2129,4.8484,4.9523,4.0723,-23.75,2164.6,2164.6652,163,0.36,,13.6,-4.2432231,60.3731917
12.2909,0.0102,2.4359,96.6473,185.0119,190.9991,75.4162,0.254,3.2434,4.2088,5.0006,4.2084,-26.3125,2164.85,2164.8176,164,0.57,,12.9,-4.2432231,60.3731917
12.2445,0.0101,2.4043,95.3051,180.1582,184.6405,68.8958,0.2606,3.3938,4.9327,5.0777,4.271,-25.3125,2164.85,2164.97,164,0.57,,12.9,-4.2432231,60.3731917
12.1849,0.0075,2.3618,92.183,175.0358,178.5572,70.281,0.2866,3.5749,5.0409,5.1214,4.5769,-27.8125,2165.1,2165.1224,165,142,,23.3,-4.2432231,60.3731917
12.2237,0.0047,2.3338,93.1503,171.7992,171.404,73.3142,0.3346,3.5941,5.7884,5.4463,5.0093,-24.1875,2165.1,2165.2748,165,142,,23.3,-4.2432231,60.3731917
12.2321,0.0086,2.34,95.5461,170.595,169.2573,74.1605,0.3273,3.4169,6.0417,4.9136,5.404,-21.125,2165.65,2165.4272,167,24,,20,-4.2432231,60.3731917
12.2347,0.011,2.3575,96.9613,169.9634,171.952,73.8687,0.3127,3.1535,6.0771,3.0543,5.4397,-23.6875,2165.65,2165.5796,167,24,,20,-4.2432231,60.3731917
12.2537,0.0073,2.3783,97.6027,170.9043,173.4517,75.8036,0.283,3.0255,6.0662,2.8674,5.4142,-24.3125,2165.65,2165.732,167,24,,20,-4.2432231,60.3731917
12.3636,0.0052,2.4016,98.5744,173.138,176.5399,78.8997,0.2768,2.9147,5.4713,2.8197,5.1005,-22,2165.65,2165.8844,167,24,,20,-4.2432231,60.3731917
12.4151,0.0063,2.4305,100.2515,175.1127,180.6929,79.3091,0.2865,2.9963,5.1619,3.0069,4.6983,-22.375,2165.65,2166.0368,167,24,,20,-4.2432231,60.3731917
12.4213,0.0053,2.4434,101.6027,178.3381,183.9308,75.1634,0.2899,3.0372,5.17,3.7351,4.9662,-21.625,2166.5,2166.1892,171,0.11,,13.8,-4.2432231,60.3731917
12.4058,0.001,2.4587,99.9256,181.5809,181.9014,70.6292,0.2652,3.4232,5.2701,4.4781,5.025,-20.9375,2166.5,2166.3416,171,0.11,,13.8,-4.2432231,60.3731917
12.3293,0.0058,2.4925,100.4836,181.496,180.5967,64.0295,0.2176,3.6942,5.3251,5.0027,5.1253,-17.25,2166.5,2166.494,171,0.11,,13.8,-4.2432231,60.3731917
12.2939,0.0119,2.5211,98.9047,177.5023,177.7567,58.3696,0.1846,3.8292,6.3486,4.8367,5.2688,-17.875,2166.5,2166.6464,171,0.11,,13.8,-4.2432231,60.3731917
12.1767,0.0103,2.5084,95.8542,170.8196,174.0976,53.6641,0.1924,3.5862,5.6502,5.1905,5.3073,-19.5625,2166.85,2166.7988,172,0.08,,6.1,-4.2432231,60.3731917
12.1453,0.0028,2.4632,90.0327,160.0241,166.6828,52.5271,0.2023,3.3843,5.8453,8.1103,6.3879,-13.625,2166.85,2166.9512,172,0.08,,6.1,-4.2432231,60.3731917
12.1417,0.0046,2.4207,83.5833,147.2633,152.8884,54.3575,0.2219,3.2149,8.6455,12.6101,8.2431,-13.125,2167.1,2167.1036,173,3.9,,14.7,-4.2432231,60.3731917
12.138,0.0032,2.3759,80.375,139.6751,146.0304,57.3809,0.2361,3.1126,11.1045,9.1523,10.2618,-14.3125,2167.35,2167.256,174,31,130,19.7,-4.2432231,60.3731917
12.1442,-0.0021,2.3213,78.5491,138.5789,141.1202,58.085,0.2562,2.9657,15.7872,7.4528,13.2294,-15.125,2167.35,2167.4084,174,31,130,19.7,-4.2432231,60.3731917
12.1391,-0.002,2.2906,79.6652,139.6484,136.1354,55.6662,0.2577,2.9604,16.5844,3.6672,13.4914,-12.1875,2167.6,2167.5608,175,57,,23.8,-4.2432231,60.3731917
12.1484,-0.0008,2.2745,84.1949,142.0851,142.8847,52.3816,0.2542,2.8713,14.459,3.3751,11.2803,-9.8125,2167.6,2167.7132,175,57,,23.8,-4.2432231,60.3731917
12.1546,-0.0005,2.2785,86.8199,146.6551,147.0414,49.6871,0.264,2.8397,13.1688,2.9458,10.0887,-13.0625,2167.85,2167.8656,176,357,,24.6,-4.2432231,60.3731917
12.1535,-0.0023,2.2784,88.6547,151.651,152.6993,50.7238,0.2702,2.79,12.5351,2.5817,9.7165,-12.4375,2168.1,2168.018,177,176,,24.1,-4.2432231,60.3731917
12.1496,-0.0032,2.2818,90.9896,156.6002,156.2936,52.5555,0.2954,2.8262,13.167,2.4718,9.972,-11.8125,2168.1,2168.1704,177,176,,24.1,-4.2432231,60.3731917
12.1558,-0.0092,2.2705,92.4107,160.3898,159.3892,54.5167,0.2861,2.8661,13.8992,2.7683,10.1375,-9.8125,2168.35,2168.3228,178,309,22,25.9,-4.2432231,60.3731917
12.1532,-0.0099,2.2653,92.2813,162.3182,160.8341,54.6119,0.2798,2.7977,14.8984,2.6092,10.5039,-10.6875,2168.35,2168.4752,178,309,22,25.9,-4.2432231,60.3731917
12.1507,-0.0133,2.2548,92.314,163.858,162.3417,53.4836,0.2515,2.8304,15.1716,2.5868,10.2176,-10,2168.62,2168.6276,179,120,,24.3,-4.2432231,60.3731917
12.1523,-0.0102,2.2631,92.6399,166.8209,163.7966,52.429,0.2491,2.7631,14.7317,2.5584,9.7697,-8.75,2168.85,2168.78,180,211,,25.4,-4.2432231,60.3731917
12.1544,-0.0058,2.2641,92.1533,169.1813,165.4797,52.5012,0.2565,2.7649,13.7567,2.4272,8.5048,-8.5625,2168.85,2168.9324,180,211,,25.4,-4.2432231,60.3731917
12.1508,-0.0007,2.2691,93.2351,170.018,167.7309,50.8075,0.2673,2.7587,11.9546,2.512,7.8063,-8.4375,2169.1,2169.0848,181,61,,22.9,-4.2432231,60.3731917
12.1535,0.0013,2.2663,93.9509,170.9544,168.5738,52.5863,0.2639,2.7775,11.3441,2.6581,7.0079,-3.4375,2169.35,2169.2372,182,297,286,26.2,-4.2432231,60.3731917
12.1518,0.0038,2.2735,94.0387,171.6946,169.5531,51.5119,0.2559,2.8278,9.5647,2.6245,6.1901,-6.5,2169.35,2169.3896,182,297,286,26.2,-4.2432231,60.3731917
12.1523,0.0022,2.2782,94.192,171.9041,170.2329,56.9241,0.2501,2.8368,8.0004,2.4281,5.2362,-6.375,2169.5699999999997,2169.542,183,302,,26.7,-4.2432231,60.3731917
12.1546,-0.0017,2.2757,94.3824,171.9547,171.0172,59.2508,0.2634,2.8518,6.197,2.2441,4.3902,-6.5625,2169.5699999999997,2169.6944,183,302,,26.7,-4.2432231,60.3731917
12.1518,-0.0025,2.2646,94.8274,172.5177,172.3209,58.7856,0.2731,2.7689,5.3574,2.2199,3.7933,-4.9375,2169.92,2169.8468,184,219,,25.6,-4.2432231,60.3731917
12.1581,-0.0016,2.2481,95.7232,173.7252,172.6487,54.1029,0.278,2.7046,4.8316,2.205,3.4826,-6.0625,2169.92,2169.9992,184,219,,25.6,-4.2432231,60.3731917
12.1493,-0.0033,2.2401,96.2128,175.2805,173.3815,50.0623,0.2695,2.7173,4.3292,2.0271,3.2696,-5.5625,2170.1,2170.1516,185,45,,23.8,-4.2432231,60.3731917
12.1552,0.0008,2.2501,97.0595,176.4609,175.3053,51.4997,0.2623,2.7788,4.2447,1.543,3.0728,-4.8125,2170.35,2170.304,186,443,309,27.1,-4.2432231,60.3731917
12.1494,0.0058,2.2696,97.1458,177.0926,175.4169,53.2043,0.2698,2.8697,3.7752,1.3723,2.6781,-5.5625,2170.35,2170.4564,186,443,309,27.1,-4.2432231,60.3731917
12.1504,0.0071,2.2808,96.7857,176.817,174.9255,56.5473,0.2795,2.7826,3.2078,1.3023,2.409,-5.9375,2170.62,2170.6088,187,273,,26.6,-4.2432231,60.3731917
12.1541,0.0047,2.2793,96.2381,176.0336,174.6201,55.1161,0.2778,2.8249,2.7894,1.3167,2.0759,-5.875,2170.85,2170.7612,188,256,,26.6,-4.2432231,60.3731917
12.1506,0.0049,2.2771,96.3036,175.5755,174.5193,55.6031,0.2731,2.718,2.7499,1.446,2.0552,-3.75,2170.85,2170.9136,188,256,,26.6,-4.2432231,60.3731917
12.1564,0.0017,2.2656,96.2574,175.6324,174.7478,52.3864,0.2638,2.7612,2.9033,1.5565,2.1454,-4.625,2171.1,2171.066,189,246,,25.9,-4.2432231,60.3731917
12.1506,-0.0022,2.2615,96.0446,176.4514,175.6696,53.279,0.2677,2.7422,2.7854,1.3823,2.1635,-6.4375,2171.1,2171.2184,189,246,,25.9,-4.2432231,60.3731917
12.1549,-0.0033,2.2587,96.0387,176.7622,175.972,51.5254,0.2571,2.8492,2.8945,1.3854,2.2137,-6.6875,2171.35,2171.3708,190,133,172,25.6,-4.2432231,60.3731917
12.1561,-0.0039,2.258,96.0074,175.4582,174.6454,52.6076,0.2621,2.7872,2.9968,1.3511,2.1848,-1.5625,2171.5499999999997,2171.5232,191,277,,26.3,-4.2432231,60.3731917
12.1684,-0.0042,2.2578,95.3973,174.3761,172.7613,52.4726,0.26,2.7036,2.8949,1.2782,1.9835,-5.25,2171.5499999999997,2171.6756,191,277,,26.3,-4.2432231,60.3731917
12.164,-0.0047,2.2605,94.5432,173.8417,172.2131,52.9387,0.2746,2.7341,2.6198,1.2605,1.9418,-6.125,2171.93,2171.828,192,226,,26,-4.2432231,60.3731917
12.1801,-0.0029,2.2686,94.4985,172.8996,170.7546,55.2758,0.2725,2.8142,2.6949,1.2993,2.0121,-3.1875,2171.93,2171.9804,192,226,,26,-4.2432231,60.3731917
12.1812,-0.0022,2.2665,94.7679,172.4637,170.1937,54.6528,0.276,2.8666,2.5341,1.2795,1.8121,-0.75,2171.93,2172.1328,192,226,,26,-4.2432231,60.3731917
12.1836,-0.0026,2.2634,94.9315,172.9477,170.8541,55.3809,0.2636,2.7471,2.3992,1.2314,1.8234,-4.6875,2172.62,2172.2852,195,281,,25.9,-4.2432231,60.3731917
12.1812,-0.0045,2.2605,95.3661,173.4786,171.7336,53.1069,0.2563,2.7859,2.7386,1.347,1.8943,-4.9375,2172.62,2172.4376,195,281,,25.9,-4.2432231,60.3731917
12.1789,-0.0026,2.2689,95.6101,173.6708,172.4741,54.5597,0.2556,2.8669,2.6222,1.6191,1.9384,-0.375,2172.62,2172.59,195,281,,25.9,-4.2432231,60.3731917
12.1849,-0.0033,2.269,95.8646,173.8832,172.964,53.897,0.2491,2.8987,2.5587,1.5312,1.8665,-4.75,2172.85,2172.7424,196,291,,26.3,-4.2432231,60.3731917
12.1801,-0.0064,2.2622,95.8393,173.3867,172.4178,53.2654,0.2531,2.8767,2.6929,1.2625,1.8904,-4.3125,2172.85,2172.8948,196,291,,26.3,-4.2432231,60.3731917
12.1851,-0.0082,2.2552,95.369,172.6778,171.684,53.5107,0.2456,2.8591,2.7348,1.4099,1.9896,-2.3125,2173.1,2173.0472,197,172,,25.4,-4.2432231,60.3731917
12.1801,-0.006,2.2585,94.933,172.144,170.7177,55.5911,0.2499,2.7995,2.6337,1.3747,1.8629,-0.8125,2173.1,2173.1996,197,172,,25.4,-4.2432231,60.3731917
12.1827,-0.0088,2.2523,94.5893,171.6623,169.7688,54.8963,0.2561,2.6899,2.8188,1.2985,1.7472,-3,2173.35,2173.352,198,189,150,25.2,-4.2432231,60.3731917
12.1801,-0.0096,2.2561,94.0729,171.4158,169.821,53.8414,0.2662,2.6789,2.9289,1.2461,1.8617,-4.5625,2173.5699999999997,2173.5044,199,238,,25.9,-4.2432231,60.3731917
12.1839,-0.0088,2.2752,94.0863,171.1885,170.1755,49.4809,0.2714,3.0016,2.9073,1.2122,1.8132,2.0625,2173.5699999999997,2173.6568,199,238,,25.9,-4.2432231,60.3731917
12.1812,-0.0054,2.2942,93.9464,170.8103,170.4367,49.3545,0.2687,3.1425,2.6038,1.1826,1.8553,-3,2173.93,2173.8092,200,244,,26,-4.2432231,60.3731917
12.1827,-0.004,2.3001,93.628,170.4355,170.2355,48.9712,0.2594,3.1193,2.6011,1.1782,1.7633,-4.0625,2173.93,2173.9616,200,244,,26,-4.2432231,60.3731917
